bootstrap_replicate,sample_size,active_count,inactive_count,classifier,traditional_AUROC,esm2_AUROC,delta_AUROC,traditional_AUPRC,esm2_AUPRC,delta_AUPRC,traditional_MCC,esm2_MCC,delta_MCC,traditional_F1,esm2_F1,delta_F1
3490,181,20,161,XGBoost,0.9624223602484473,0.9779503105590063,0.01552795031055898,0.6382154718095496,0.8706032902071232,0.2323878183975736,0.7143430755136987,0.7600689387825204,0.045725863268821665,0.7307692307692307,0.782608695652174,0.05183946488294322
3491,181,20,161,Logistic Regression,0.9546583850931677,0.9546583850931677,0.0,0.6685435767923318,0.7849098516218083,0.11636627482947648,0.5971792116747037,0.7264224849048023,0.12924327323009865,0.6206896551724138,0.75,0.1293103448275862
3491,181,20,161,RBF-SVM,0.9546583850931678,0.9701863354037268,0.01552795031055898,0.680658891761833,0.8041925905370273,0.12353369877519427,0.5638401990721158,0.6349663992612077,0.07112620018909188,0.6037735849056604,0.6666666666666666,0.06289308176100628
3491,181,20,161,Random Forest,0.9568322981366459,0.982919254658385,0.02608695652173909,0.5824224386724387,0.9020523512435278,0.3196299125710891,0.7455702438142119,0.6959498406790738,-0.04962040313513805,0.7727272727272727,0.72,-0.052727272727272734
3491,181,20,161,XGBoost,0.9751552795031055,0.9816770186335404,0.006521739130434856,0.768836403060541,0.870794832618362,0.10195842955782097,0.7272005173616334,0.752753989342379,0.025553471980745646,0.7555555555555555,0.7804878048780488,0.024932249322493272
3492,181,20,161,Logistic Regression,0.9618012422360248,0.9739130434782609,0.012111801242236098,0.6911085094552837,0.8951919243037665,0.2040834148484828,0.6306118889033298,0.8179510473202897,0.18733915841695992,0.6545454545454545,0.8372093023255814,0.1826638477801269
3492,181,20,161,RBF-SVM,0.9708074534161492,0.9857142857142858,0.014906832298136607,0.7790263723731465,0.8995780672715656,0.1205516948984191,0.625048174604586,0.7428126208262675,0.11776444622168158,0.6666666666666666,0.7659574468085106,0.099290780141844
3492,181,20,161,Random Forest,0.9689440993788819,0.9888198757763975,0.019875776397515588,0.6889423316147454,0.9336762360446571,0.24473390442991172,0.6778655492325919,0.7428126208262675,0.06494707159367563,0.7142857142857143,0.7659574468085106,0.05167173252279633
3492,181,20,161,XGBoost,0.9726708074534163,0.9934782608695651,0.02080745341614887,0.8273786369386464,0.9566798941798942,0.12930125724124775,0.6778655492325919,0.807781643652141,0.1299160944195491,0.7142857142857143,0.8292682926829268,0.11498257839721249
3493,181,20,161,Logistic Regression,0.9717391304347827,0.9785714285714285,0.006832298136645876,0.7857241219766459,0.8822196812027207,0.09649555922607478,0.651617652013316,0.7751557946778821,0.12353814266456609,0.6666666666666666,0.7916666666666666,0.125
3493,181,20,161,RBF-SVM,0.9661490683229813,0.9801242236024845,0.013975155279503215,0.7088152751388046,0.8712998519679555,0.16248457682915085,0.6933464382031791,0.6595777204336262,-0.033768717769552925,0.723404255319149,0.6956521739130435,-0.027752081406105522
3493,181,20,161,Random Forest,0.965527950310559,0.9897515527950311,0.024223602484472084,0.6682975627104074,0.9339829192546584,0.26568535654425096,0.7650385599847027,0.7143430755136987,-0.050695484471004026,0.7906976744186046,0.7307692307692307,-0.059928443649373886
3493,181,20,161,XGBoost,0.9770186335403727,0.9928571428571428,0.01583850931677011,0.7482569517041266,0.9486547535056002,0.2003978018014736,0.7600689387825204,0.8708635346558767,0.11079459587335638,0.782608695652174,0.8837209302325582,0.10111223458038421
