selection_rank,model,pca_components,fusion_dimensions,C,gamma,folds,cv_fit_warnings,mean_cv_AUROC,sd_cv_AUROC,mean_cv_AUPRC,sd_cv_AUPRC,mean_cv_MCC,sd_cv_MCC,mean_cv_F1,sd_cv_F1,mean_cv_Accuracy,sd_cv_Accuracy,mean_cv_Precision,sd_cv_Precision,mean_cv_Recall,sd_cv_Recall,mean_cv_Specificity,sd_cv_Specificity
25,Fusion RBF-SVM,24,56,100.0,0.01,5,0,0.9717680575742893,0.012041021832892353,0.8746672100950826,0.03477644550935966,0.7001487151058359,0.0660035478602562,0.7055181115181115,0.07161643026310524,0.9472222222222222,0.010531771450071592,0.9053030303030303,0.06142907098570777,0.5833333333333333,0.08960755486502736,0.9921996124031007,0.005524338121127668
26,Fusion RBF-SVM,24,56,10.0,0.001,5,0,0.9716112019541343,0.028192956483343707,0.8939706943132834,0.05850310426179517,0.7794315604012543,0.10192522928492749,0.8015162271805274,0.08861364569942694,0.9569444444444445,0.01988586258788381,0.825436507936508,0.13312593114211077,0.7841666666666667,0.07379824222537795,0.978173449612403,0.016903888115135306
27,Fusion RBF-SVM,52,84,10.0,0.01,5,0,0.9683600815568475,0.020758382005068732,0.8651182558988854,0.06255843251998813,0.6153018084169345,0.08872496406981685,0.6077451533973274,0.09375981315000367,0.9347222222222221,0.013537214367790217,0.8916666666666668,0.10865337342004415,0.4691666666666666,0.10855746046321378,0.9921875,0.0078125
28,Fusion RBF-SVM,52,84,100.0,0.01,5,0,0.9683600815568475,0.020758382005068732,0.8651182558988854,0.06255843251998813,0.6153018084169345,0.08872496406981685,0.6077451533973274,0.09375981315000367,0.9347222222222221,0.013537214367790217,0.8916666666666668,0.10865337342004415,0.4691666666666666,0.10855746046321378,0.9921875,0.0078125
29,Fusion RBF-SVM,24,56,1.0,0.01,5,0,0.9663698623223513,0.013715242029164498,0.852197629174443,0.02988224236002287,0.6751497873218473,0.08248217911177858,0.68603663003663,0.0792672909344997,0.9430555555555555,0.013357905598382862,0.8676767676767676,0.08794262165526834,0.5708333333333333,0.08665264309618925,0.9890746124031008,0.00699453262918754
30,Fusion RBF-SVM,99,131,10.0,0.01,5,0,0.9648622718830749,0.021454978357736514,0.8459436493343,0.044958192822840554,0.5934913935149663,0.08252749153130794,0.5679649336171075,0.10898139951775032,0.9319444444444442,0.012422599874998821,0.9349999999999999,0.09287087810503354,0.41916666666666663,0.1123301186483641,0.9953125,0.006987712429686843
31,Fusion RBF-SVM,99,131,100.0,0.01,5,0,0.9648622718830749,0.021454978357736514,0.8459436493343,0.044958192822840554,0.5934913935149663,0.08252749153130794,0.5679649336171075,0.10898139951775032,0.9319444444444442,0.012422599874998821,0.9349999999999999,0.09287087810503354,0.41916666666666663,0.1123301186483641,0.9953125,0.006987712429686843
32,Fusion RBF-SVM,52,84,1.0,0.01,5,0,0.9644666505167958,0.016069900840922382,0.8451150917411437,0.04888985965780323,0.580973293151574,0.105758040974944,0.5717311673833414,0.11611180521728479,0.9305555555555554,0.014731391274719726,0.8699999999999999,0.08177713616898061,0.43166666666666664,0.10963164334361783,0.9921875,0.005524271728019903
33,Fusion RBF-SVM,99,131,1.0,0.01,5,0,0.9637937560562015,0.022045487020099515,0.8459632515492517,0.045130216839381246,0.5909365615038112,0.10906025270932887,0.5768036311514573,0.11729334878944941,0.9319444444444442,0.015055196797693599,0.8949999999999999,0.10062305898749051,0.43166666666666664,0.10963164334361783,0.99375,0.006536406457297465
34,Fusion RBF-SVM,99,131,0.1,0.01,5,0,0.9635984435562015,0.020514182580489582,0.8093157497353657,0.05190007730400776,0.0,0.0,0.0,0.0,0.8902777777777777,0.0031056499687497465,0.0,0.0,0.0,0.0,1.0,0.0
