principal_component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio,singular_value
149,0.36744358168679725,0.00028666659609550356,0.9709350621537841,16.253982134628032
150,0.3587374297550877,0.00027987436168526745,0.9712149365154694,16.06026811712395
151,0.35573803812865606,0.0002775343415277255,0.9714924708569972,15.992987507482887
152,0.35355813208863884,0.00027583365528514354,0.9717683045122824,15.943910968508678
153,0.3494973929746453,0.00027266560903952254,0.9720409701213218,15.85208584220922
154,0.34518034470362363,0.00026929759937841316,0.9723102677207003,15.753877866795381
155,0.3369277094029601,0.0002628591827387797,0.9725731269034391,15.564415281684317
156,0.33519690446445877,0.00026150886942551463,0.9728346357728647,15.524386439081766
157,0.32889332523780346,0.0002565910379809478,0.9730912268108456,15.377720924960911
158,0.3273399942426043,0.0002553791836141924,0.9733466059944598,15.341364211191665
159,0.32367034356643193,0.00025251625085219204,0.973599122245312,15.25512953154658
160,0.32084884977860445,0.0002503150203494082,0.9738494372656614,15.188493111260794
161,0.31711048647050305,0.00024739848040174564,0.9740968357460632,15.09974965925898
162,0.3123971975688553,0.00024372133769687794,0.9743405570837601,14.987113966738459
163,0.3099621788269165,0.00024182162147112183,0.9745823787052312,14.928590240761281
164,0.30260759154218264,0.00023608383039875244,0.97481846253563,14.75041892011306
165,0.297380894775277,0.0002320061448827503,0.9750504686805127,14.622478016513623
166,0.29553411388323203,0.00023056535119783566,0.9752810340317105,14.577003391714081
167,0.29370855465049256,0.00022914111390726237,0.9755101751456178,14.531911463868205
168,0.28750968305723956,0.00022430497168615362,0.9757344801173039,14.377741899135456
169,0.28476198600730623,0.00022216131481020513,0.9759566414321141,14.308873748106564
170,0.2813716415039708,0.00021951628692891615,0.9761761577190431,14.223438762878512
171,0.27931445232708046,0.0002179113400792353,0.9763940690591223,14.17134754436468
172,0.2774951696077033,0.00021649199950426847,0.9766105610586265,14.125120422422553
173,0.27444637547487577,0.00021411343724379444,0.9768246744958703,14.047310915845626
174,0.2663145437294876,0.00020776926730137646,0.9770324437631717,13.837635525677845
175,0.2660633454498125,0.00020757329121315926,0.9772400170543848,13.831107886876424
176,0.2640174973650844,0.0002059771922858485,0.9774459942466707,13.777829313991942
177,0.26014301654493843,0.0002029544582289633,0.9776489487048996,13.676360221046048
178,0.25644726501331355,0.0002000711624949023,0.9778490198673945,13.578865326107792
179,0.2544405272537871,0.00019850557607170515,0.9780475254434662,13.525632668953897
180,0.2515439064932556,0.00019624573413953904,0.9782437711776057,13.448422538299827
181,0.24873862544760883,0.0001940571522496198,0.9784378283298554,13.373222188269764
182,0.24691282852148702,0.00019263272951900557,0.9786304610593743,13.324050574316699
183,0.2426231700766705,0.00018928608843973355,0.9788197471478141,13.207802969651164
184,0.23862778894329442,0.00018616903219846986,0.9790059161800125,13.098602225055492
185,0.23654236827359462,0.00018454206012818446,0.9791904582401407,13.041240845437773
186,0.23514182216043264,0.0001834494031681912,0.9793739076433089,13.00257551923276
187,0.2314920000859774,0.00018060193998585658,0.9795545095832947,12.901269242280689
188,0.22934735817920496,0.00017892876558331044,0.979733438348878,12.841368717190873
189,0.22832022036282582,0.0001781274286809466,0.979911565777559,12.812581255971482
190,0.22499552998330502,0.00017553362184455156,0.9800870993994035,12.718953811457776
191,0.2233287622568628,0.00017423326811833432,0.9802613326675219,12.671755208442292
192,0.22108484195964687,0.00017248264019728167,0.9804338153077192,12.607934064270248
193,0.2188625601523531,0.00017074889386719912,0.9806045642015864,12.54440834593413
194,0.21578795533201622,0.00016835019501351746,0.9807729143965999,12.45598409936845
195,0.21281251685571176,0.0001660288622636619,0.9809389432588635,12.369810007403379
196,0.20995025479816926,0.00016379582578659964,0.9811027390846502,12.286343361630575
197,0.20636142316638653,0.00016099594520868835,0.9812637350298589,12.180881054202603
198,0.2062105855871513,0.00016087826701927994,0.9814246132968781,12.176428500884887
199,0.2034639698433929,0.00015873545374048745,0.9815833487506186,12.09506487446014
200,0.20140636800901104,0.00015713018494990373,0.9817404789355685,12.033751642712215
201,0.20004296591718843,0.0001560665064527095,0.9818965454420212,11.992951784046264
202,0.19822447508432403,0.00015464778367982825,0.982051193225701,11.938316363107026
203,0.19608045466621135,0.0001529750941409387,0.9822041683198419,11.87357767924251
204,0.19220513096234876,0.0001499517024957379,0.9823541200223377,11.755657751139609
205,0.1877589446009105,0.00014648294382539002,0.982500602966163,11.618893284992966
206,0.1859332701947442,0.0001450586166805483,0.9826456615828436,11.562267133655972
207,0.1857162736747072,0.00014488932360573662,0.9827905509064494,11.555518195741568
208,0.183216517331617,0.00014293910137392574,0.9829334900078234,11.477485611467026
209,0.1823614430544697,0.00014227200241056004,0.9830757620102339,11.450671489312917
210,0.18063935596132338,0.00014092849045450404,0.9832166905006885,11.396477391553564
211,0.17895895408419474,0.00013961749984207425,0.9833563080005305,11.343345537650523
212,0.17821143880114598,0.00013903431463378396,0.9834953423151643,11.31963005128807
213,0.17669105950018765,0.00013784816802325125,0.9836331904831875,11.271240915739266
214,0.1747717420049297,0.00013635078382438634,0.9837695412670119,11.209856488891571
215,0.17295073910508768,0.00013493010122494795,0.9839044713682368,11.151304023142677
216,0.1715774038747897,0.00013385867324147284,0.9840383300414782,11.106941675635728
217,0.1687293900342502,0.00013163675272362784,0.9841699667942019,11.014373855768012
218,0.16727631230206486,0.00013050311243676933,0.9843004699066387,10.966844055843259
219,0.1661172295912948,0.0001295988367551415,0.9844300687433938,10.928782552331295
220,0.1651550589794919,0.00012884818498737222,0.9845589169283812,10.897086188805458
221,0.1632623445304186,0.0001273715555521652,0.9846862884839334,10.834464717620847
222,0.1628768472067337,0.00012707080405971195,0.9848133592879931,10.821665913418393
223,0.15927429015508748,0.000124260215390577,0.9849376195033837,10.701318359039128
224,0.15819949790577975,0.00012342170017089492,0.9850610412035545,10.665150678459993
225,0.15718872306978734,0.00012263312909197504,0.9851836743326465,10.631024968796616
226,0.15572716377658816,0.00012149287178866395,0.9853051672044352,10.581485281158164
227,0.15417958109888788,0.00012028550205762629,0.9854254527064928,10.528775750774654
228,0.15221311750354546,0.00011875133612490076,0.9855442040426178,10.461416323091687
229,0.15156248068633835,0.00011824373209810852,0.9856624477747159,10.439033653240001
230,0.14958684911621628,0.00011670241363298303,0.9857791501883488,10.370773573584543
231,0.14759274941992617,0.00011514668698350295,0.9858942968753324,10.301416739115398
232,0.1466445481342986,0.00011440693359410799,0.9860087038089265,10.268272985685602
233,0.14495803646439806,0.00011309117633562951,0.9861217949852621,10.209056186440655
