model_order,model,representation,classifier,subset_order,subset,subset_label,n,active,inactive,active_prevalence,full_test_AUROC,AUROC,delta_AUROC,full_test_AUPRC,AUPRC,delta_AUPRC,full_test_MCC,MCC,delta_MCC,full_test_Accuracy,Accuracy,delta_Accuracy,full_test_Precision,Precision,delta_Precision,full_test_Recall,Recall,delta_Recall,full_test_Specificity,Specificity,delta_Specificity,full_test_F1,F1,delta_F1
2,Traditional Random Forest,Traditional,Random Forest,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.9652173913043479,0.9824717765894236,0.017254385285075724,0.6732291747397245,0.7010377182625986,0.027808543522874096,0.7455702438142119,0.767087302059032,0.021517058244820086,0.9447513812154696,0.9695121951219512,0.02476081390648155,0.7083333333333334,0.75,0.04166666666666663,0.85,0.8181818181818182,-0.031818181818181746,0.9565217391304348,0.9803921568627451,0.023870417732310245,0.7727272727272727,0.782608695652174,0.00988142292490124
2,Traditional Random Forest,Traditional,Random Forest,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.9652173913043479,0.9891666666666666,0.023949275362318723,0.6732291747397245,0.7152777777777777,0.042048603038053134,0.7455702438142119,0.6611020559729285,-0.0844681878412834,0.9447513812154696,0.9805194805194806,0.035768099304010925,0.7083333333333334,0.6,-0.10833333333333339,0.85,0.75,-0.09999999999999998,0.9565217391304348,0.9866666666666667,0.03014492753623188,0.7727272727272727,0.6666666666666666,-0.10606060606060608
3,Traditional XGBoost,Traditional,XGBoost,0,all_test,All test,181,20,161,0.11049723756906077,0.9779503105590063,0.9779503105590063,0.0,0.7668461218219346,0.7668461218219346,0.0,0.7600689387825204,0.7600689387825204,0.0,0.9447513812154696,0.9447513812154696,0.0,0.6923076923076923,0.6923076923076923,0.0,0.9,0.9,0.0,0.9503105590062112,0.9503105590062112,0.0,0.782608695652174,0.782608695652174,0.0
3,Traditional XGBoost,Traditional,XGBoost,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.9779503105590063,0.9822419533851277,0.004291642826121378,0.7668461218219346,0.7733467383515424,0.006500616529607872,0.7600689387825204,0.7696750209556958,0.00960608217317549,0.9447513812154696,0.9545454545454546,0.009794073329984943,0.6923076923076923,0.7142857142857143,0.02197802197802201,0.9,0.8823529411764706,-0.01764705882352946,0.9503105590062112,0.9622641509433962,0.011953591937185037,0.782608695652174,0.7894736842105263,0.006864988558352381
3,Traditional XGBoost,Traditional,XGBoost,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.9779503105590063,0.9863339275103982,0.008383616951391892,0.7668461218219346,0.7518525592055003,-0.014993562616434253,0.7600689387825204,0.7333781078160264,-0.02669083096649394,0.9447513812154696,0.9634146341463414,0.018663252930871788,0.6923076923076923,0.6923076923076923,0.0,0.9,0.8181818181818182,-0.08181818181818179,0.9503105590062112,0.9738562091503268,0.023545650144115582,0.782608695652174,0.75,-0.03260869565217395
3,Traditional XGBoost,Traditional,XGBoost,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.9779503105590063,0.9916666666666667,0.013716356107660421,0.7668461218219346,0.8611111111111112,0.09426498928917659,0.7600689387825204,0.6000563036645541,-0.16001263511796626,0.9447513812154696,0.974025974025974,0.029274592810504374,0.6923076923076923,0.5,-0.1923076923076923,0.9,0.75,-0.15000000000000002,0.9503105590062112,0.98,0.029689440993788785,0.782608695652174,0.6,-0.18260869565217397
4,ESM-2 Logistic Regression,ESM-2,Logistic Regression,0,all_test,All test,181,20,161,0.11049723756906077,0.977639751552795,0.977639751552795,0.0,0.8820785695785698,0.8820785695785698,0.0,0.7751557946778821,0.7751557946778821,0.0,0.9447513812154696,0.9447513812154696,0.0,0.6785714285714286,0.6785714285714286,0.0,0.95,0.95,0.0,0.9440993788819876,0.9440993788819876,0.0,0.7916666666666666,0.7916666666666666,0.0
4,ESM-2 Logistic Regression,ESM-2,Logistic Regression,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.977639751552795,0.9781724010358861,0.0005326494830910633,0.8820785695785698,0.8746071165120519,-0.0074714530665178636,0.7751557946778821,0.7862833632924571,0.011127568614574979,0.9447513812154696,0.9545454545454546,0.009794073329984943,0.6785714285714286,0.6956521739130435,0.017080745341614856,0.95,0.9411764705882353,-0.008823529411764675,0.9440993788819876,0.9559748427672956,0.011875463885308024,0.7916666666666666,0.8,0.008333333333333415
4,ESM-2 Logistic Regression,ESM-2,Logistic Regression,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.977639751552795,0.9768270944741533,-0.0008126570786417542,0.8820785695785698,0.8418816032452396,-0.04019696633333014,0.7751557946778821,0.7605209790145538,-0.014634815663328249,0.9447513812154696,0.9634146341463414,0.018663252930871788,0.6785714285714286,0.6666666666666666,-0.011904761904761973,0.95,0.9090909090909091,-0.040909090909090895,0.9440993788819876,0.9673202614379085,0.02322088255592092,0.7916666666666666,0.7692307692307693,-0.022435897435897356
4,ESM-2 Logistic Regression,ESM-2,Logistic Regression,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.977639751552795,0.9583333333333334,-0.019306418219461663,0.8820785695785698,0.7844827586206897,-0.09759581095788006,0.7751557946778821,0.6000563036645541,-0.175099491013328,0.9447513812154696,0.974025974025974,0.029274592810504374,0.6785714285714286,0.5,-0.1785714285714286,0.95,0.75,-0.19999999999999996,0.9440993788819876,0.98,0.0359006211180124,0.7916666666666666,0.6,-0.19166666666666665
