representation,pca_components,C,fold,train_n,validation_n,scaler_fit_samples,pca_fit_samples,output_dimensions,validation_AUROC,validation_AUPRC,validation_MCC,validation_F1,convergence_warnings,locked_test_rows_used
pca_99,99.0,100.0,1,576,144,576,576.0,99,0.91455078125,0.6964830210868943,0.7097364175623984,0.7368421052631579,0,0
pca_99,99.0,100.0,2,576,144,576,576.0,99,0.9912109375,0.9345186063936064,0.8017837257372732,0.8235294117647058,0,0
pca_99,99.0,100.0,3,576,144,576,576.0,99,0.97216796875,0.7411290992363508,0.7525494303773609,0.7777777777777778,0,0
pca_99,99.0,100.0,4,576,144,576,576.0,99,0.98974609375,0.9235686565849609,0.8293831030561306,0.8484848484848485,0,0
pca_99,99.0,100.0,5,576,144,576,576.0,99,0.936950904392765,0.7586712416124181,0.7651638383496376,0.7857142857142857,0,0
pca_274,274.0,0.01,1,576,144,576,576.0,274,0.97021484375,0.7568076203766994,0.7711559152360674,0.7894736842105263,0,0
pca_274,274.0,0.01,2,576,144,576,576.0,274,0.99462890625,0.9624255952380953,0.8109307588519342,0.8205128205128205,0,0
pca_274,274.0,0.01,3,576,144,576,576.0,274,0.994140625,0.9535530533063429,0.8325754129097365,0.8421052631578947,0,0
pca_274,274.0,0.01,4,576,144,576,576.0,274,0.998046875,0.9875,0.8556534679079243,0.8648648648648649,0,0
pca_274,274.0,0.01,5,576,144,576,576.0,274,0.9824289405684754,0.8875230624495329,0.7647165723025928,0.7878787878787878,0,0
pca_274,274.0,0.1,1,576,144,576,576.0,274,0.96875,0.7957554984789892,0.7930446775731982,0.8108108108108109,0,0
pca_274,274.0,0.1,2,576,144,576,576.0,274,0.9931640625,0.9533482142857143,0.8164451367301556,0.8333333333333334,0,0
pca_274,274.0,0.1,3,576,144,576,576.0,274,0.99365234375,0.9434880581020286,0.9354143466934853,0.9411764705882353,0,0
pca_274,274.0,0.1,4,576,144,576,576.0,274,0.998046875,0.9849826388888889,0.9354143466934853,0.9411764705882353,0,0
pca_274,274.0,0.1,5,576,144,576,576.0,274,0.9824289405684754,0.9139903251667958,0.7911215487044864,0.8125,0,0
pca_274,274.0,1.0,1,576,144,576,576.0,274,0.96240234375,0.7878997920938711,0.7525494303773609,0.7777777777777778,0,0
pca_274,274.0,1.0,2,576,144,576,576.0,274,0.990234375,0.9203207028502114,0.8415524501276135,0.8571428571428571,0,0
pca_274,274.0,1.0,3,576,144,576,576.0,274,0.9912109375,0.9255433802308802,0.859375,0.875,0,0
pca_274,274.0,1.0,4,576,144,576,576.0,274,0.99755859375,0.9820586622807017,0.8978642767029671,0.9090909090909091,0,0
pca_274,274.0,1.0,5,576,144,576,576.0,274,0.9736434108527131,0.8995762407527113,0.7474763743641388,0.7741935483870968,0,0
pca_274,274.0,10.0,1,576,144,576,576.0,274,0.940185546875,0.7761805029289297,0.688653724024566,0.7222222222222222,0,0
pca_274,274.0,10.0,2,576,144,576,576.0,274,0.98828125,0.9055079389765459,0.8164451367301556,0.8333333333333334,0,0
pca_274,274.0,10.0,3,576,144,576,576.0,274,0.99169921875,0.9398457365955936,0.859375,0.875,0,0
pca_274,274.0,10.0,4,576,144,576,576.0,274,0.9970703125,0.9794270833333334,0.8978642767029671,0.9090909090909091,0,0
pca_274,274.0,10.0,5,576,144,576,576.0,274,0.9638242894056848,0.8914870509607351,0.7206691658885025,0.75,0,0
pca_274,274.0,100.0,1,576,144,576,576.0,274,0.9453125,0.7771338791740259,0.6678270969037458,0.7027027027027027,0,0
pca_274,274.0,100.0,2,576,144,576,576.0,274,0.98583984375,0.8334068419110989,0.71875,0.75,0,0
pca_274,274.0,100.0,3,576,144,576,576.0,274,0.984375,0.8924843248856407,0.8198127976897006,0.8387096774193549,0,0
pca_274,274.0,100.0,4,576,144,576,576.0,274,0.986328125,0.9465161064425771,0.7930446775731982,0.8108108108108109,0,0
pca_274,274.0,100.0,5,576,144,576,576.0,274,0.9219638242894057,0.7014663517473,0.7474763743641388,0.7741935483870968,0,0
