model,representation,classifier,threshold,n,active,inactive,prevalence,TN,FP,FN,TP,predicted_positive_count,sensitivity,specificity,precision,net_benefit,standardized_net_benefit,treat_all_net_benefit,treat_none_net_benefit,beats_treat_all,beats_treat_none,beats_both
ESM-2 Logistic Regression,ESM-2,Logistic Regression,0.38,181,20,161,0.11049723756906077,150,11,1,19,30,0.95,0.9316770186335404,0.6333333333333333,0.06772411334877917,0.6129032258064515,-0.4346818748886117,0.0,True,True,True
ESM-2 Logistic Regression,ESM-2,Logistic Regression,0.39,181,20,161,0.11049723756906077,150,11,1,19,30,0.95,0.9316770186335404,0.6333333333333333,0.06611719952902817,0.5983606557377049,-0.45820124988678573,0.0,True,True,True
ESM-2 Logistic Regression,ESM-2,Logistic Regression,0.4,181,20,161,0.11049723756906077,150,11,1,19,30,0.95,0.9316770186335404,0.6333333333333333,0.06445672191528545,0.5833333333333334,-0.48250460405156553,0.0,True,True,True
ESM-2 Logistic Regression,ESM-2,Logistic Regression,0.41,181,20,161,0.11049723756906077,150,11,1,19,30,0.95,0.9316770186335404,0.6333333333333333,0.0627399569248057,0.5677966101694917,-0.5076318007304053,0.0,True,True,True
ESM-2 Logistic Regression,ESM-2,Logistic Regression,0.42,181,20,161,0.11049723756906077,151,10,1,19,29,0.95,0.937888198757764,0.6551724137931034,0.06496475519146505,0.5879310344827587,-0.5336254524671364,0.0,True,True,True
ESM-2 Logistic Regression,ESM-2,Logistic Regression,0.43,181,20,161,0.11049723756906077,151,10,1,19,29,0.95,0.937888198757764,0.6551724137931034,0.06329359309876903,0.5728070175438598,-0.5605311621595426,0.0,True,True,True
ESM-2 Logistic Regression,ESM-2,Logistic Regression,0.44,181,20,161,0.11049723756906077,151,10,1,19,29,0.95,0.937888198757764,0.6551724137931034,0.06156274664561957,0.5571428571428572,-0.5883977900552486,0.0,True,True,True
ESM-2 Logistic Regression,ESM-2,Logistic Regression,0.45,181,20,161,0.11049723756906077,151,10,1,19,29,0.95,0.937888198757764,0.6551724137931034,0.05976896032144651,0.5409090909090909,-0.6172777498744351,0.0,True,True,True
ESM-2 Logistic Regression,ESM-2,Logistic Regression,0.46,181,20,161,0.11049723756906077,152,9,1,19,28,0.95,0.9440993788819876,0.6785714285714286,0.06261510128913444,0.5666666666666668,-0.6472273378350728,0.0,True,True,True
ESM-2 Logistic Regression,ESM-2,Logistic Regression,0.47,181,20,161,0.11049723756906077,152,9,1,19,28,0.95,0.9440993788819876,0.6785714285714286,0.06087772333993537,0.5509433962264152,-0.6783070989263005,0.0,True,True,True
ESM-2 Logistic Regression,ESM-2,Logistic Regression,0.48,181,20,161,0.11049723756906077,152,9,1,19,28,0.95,0.9440993788819876,0.6785714285714286,0.05907352316192095,0.5346153846153846,-0.7105822354441138,0.0,True,True,True
ESM-2 Logistic Regression,ESM-2,Logistic Regression,0.49,181,20,161,0.11049723756906077,152,9,1,19,28,0.95,0.9440993788819876,0.6785714285714286,0.05719857003574911,0.5176470588235295,-0.7441230635900768,0.0,True,True,True
ESM-2 Logistic Regression,ESM-2,Logistic Regression,0.5,181,20,161,0.11049723756906077,152,9,1,19,28,0.95,0.9440993788819876,0.6785714285714286,0.055248618784530384,0.5,-0.7790055248618786,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.05,181,20,161,0.11049723756906077,141,20,0,20,40,1.0,0.8757763975155279,0.5,0.10468159348647862,0.9473684210526316,0.0636813027042745,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.06,181,20,161,0.11049723756906077,143,18,0,20,38,1.0,0.8881987577639752,0.5263157894736842,0.10414952392147643,0.9425531914893618,0.05372046549900082,0.0,True,True,True
