classifier,transition,descriptor,descriptor_label,n,mean,sd,median,minimum,maximum,mean_test_set_zscore,median_test_set_zscore,mean_absolute_test_set_zscore
Logistic Regression,regression,mean_eisenberg_hydrophobicity,Mean hydrophobicity,1,0.1354166666666666,,0.1354166666666666,0.1354166666666666,0.1354166666666666,0.38568749496131866,0.38568749496131866,0.38568749496131866
Logistic Regression,regression,hydrophobic_moment,Hydrophobic moment,1,0.3941535203514257,,0.3941535203514257,0.3941535203514257,0.3941535203514257,0.14872347215088005,0.14872347215088005,0.14872347215088005
Logistic Regression,regression,boman_index,Boman index,1,1.4466666666666663,,1.4466666666666663,1.4466666666666663,1.4466666666666663,0.17072782527370195,0.17072782527370195,0.17072782527370195
Logistic Regression,persistent_error,length,Length,9,17.88888888888889,8.31330927555995,14.0,12.0,38.0,0.2627185696813325,-0.5452047987318911,1.0993369275014977
Logistic Regression,persistent_error,molecular_weight,Molecular weight,9,1991.748988888889,872.2555700207877,1561.9941,1343.7424,4088.951700000001,0.17046595845499768,-0.6132837679569143,1.050657379342711
Logistic Regression,persistent_error,net_charge_pH7_4,Net charge (pH 7.4),9,4.626542985478954,2.2848344147318502,3.5474304968978063,1.552441682232378,8.534902533561377,1.4656307404958506,1.0666837457625442,1.4656307404958506
Logistic Regression,persistent_error,isoelectric_point,Isoelectric point,9,10.669275856018066,0.5541604340847589,10.477740287780762,10.002737236022949,11.999967765808105,1.1335663434017873,1.058291379144496,1.1335663434017873
Logistic Regression,persistent_error,mean_eisenberg_hydrophobicity,Mean hydrophobicity,9,0.13891010177859014,0.24029506073064447,0.1969230769230769,-0.3152941176470588,0.58,0.39923090460047156,0.6241366096144586,0.7657341148413301
Logistic Regression,persistent_error,hydrophobic_moment,Hydrophobic moment,9,0.5101458580454559,0.15533591109121894,0.5025754469180348,0.3000237863788378,0.7461443454495983,0.8525878413612636,0.8066490943819465,0.9995936836455847
Logistic Regression,persistent_error,boman_index,Boman index,9,-0.24278848452548385,1.1573458748561887,-0.5330769230769231,-1.899444444444444,2.19235294117647,-0.9835003985577875,-1.1818241650049834,1.1346509234556565
RBF-SVM,stable_correct,length,Length,165,16.581818181818182,4.58666243403782,16.0,8.0,30.0,-0.00882762219573542,-0.12970135211937614,0.7697561340182127
RBF-SVM,stable_correct,molecular_weight,Molecular weight,165,1897.4132975757577,526.5683995147607,1802.8872,972.2277,3484.9750000000004,-0.001575300804907813,-0.17396380650714335,0.778183477743127
RBF-SVM,stable_correct,net_charge_pH7_4,Net charge (pH 7.4),165,0.2756373355491371,2.408981712130935,-0.0996354028794854,-6.436075477657191,8.534902533561377,-0.14289548061194646,-0.28163350170396984,0.7008959972978371
RBF-SVM,stable_correct,isoelectric_point,Isoelectric point,165,7.505371924891618,2.48700270234554,6.921477317810059,4.0500284194946286,11.999967765808105,-0.1098724472147632,-0.3393475576737986,0.8884321740887732
RBF-SVM,stable_correct,mean_eisenberg_hydrophobicity,Mean hydrophobicity,165,0.026234911699978155,0.26022727588912037,0.0486666666666666,-0.7041176470588235,0.700909090909091,-0.0375902203134009,0.049373595159240356,0.79115506514336
RBF-SVM,stable_correct,hydrophobic_moment,Hydrophobic moment,165,0.3537033075142956,0.1574062089813753,0.3480212888123008,0.0341946997768989,0.7909744075127042,-0.09673639277688471,-0.13121600228411676,0.7709790471241094
