fold,feature,training_n,validation_n,training_active,validation_active,scale_pos_weight,baseline_validation_AUROC,mean_permuted_AUROC,mean_AUROC_drop,sd_AUROC_drop_across_repeats,min_AUROC_drop,max_AUROC_drop,n_repeats
2,AAC_T,576,144,63,16,8.142857142857142,0.99609375,0.9961263020833333,-3.255208333333333e-05,0.0003376424840251567,-0.00048828125,0.00048828125,30
2,isoelectric_point,576,144,63,16,8.142857142857142,0.99609375,0.9961263020833333,-3.255208333333333e-05,0.0011392427363001458,-0.001953125,0.001953125,30
2,AAC_E,576,144,63,16,8.142857142857142,0.99609375,0.996630859375,-0.000537109375,0.0016135970099115022,-0.00390625,0.00244140625,30
2,charge_density,576,144,63,16,8.142857142857142,0.99609375,0.9966471354166667,-0.0005533854166666667,0.0013614829934408652,-0.0029296875,0.001953125,30
2,AAC_V,576,144,63,16,8.142857142857142,0.99609375,0.9967447916666666,-0.0006510416666666666,0.0008914755167727312,-0.001953125,0.0009765625,30
2,mean_eisenberg_hydrophobicity,576,144,63,16,8.142857142857142,0.99609375,0.996826171875,-0.000732421875,0.0016105370886815126,-0.0029296875,0.0029296875,30
3,net_charge_pH7_4,576,144,63,16,8.142857142857142,0.98828125,0.971533203125,0.016748046875,0.004410684065046613,0.001953125,0.0224609375,30
3,molecular_weight,576,144,63,16,8.142857142857142,0.98828125,0.9765625,0.01171875,0.0054674269104531825,0.00146484375,0.02197265625,30
3,AAC_K,576,144,63,16,8.142857142857142,0.98828125,0.9805826822916667,0.007698567708333334,0.003184323282073457,-0.00146484375,0.0126953125,30
3,AAC_F,576,144,63,16,8.142857142857142,0.98828125,0.9838541666666667,0.004427083333333333,0.004081092873052365,-0.00341796875,0.013671875,30
3,hydrophobic_moment,576,144,63,16,8.142857142857142,0.98828125,0.9838541666666667,0.004427083333333333,0.002496131446963648,0.00048828125,0.01123046875,30
3,length,576,144,63,16,8.142857142857142,0.98828125,0.9843098958333333,0.0039713541666666664,0.0023669732918947194,0.0,0.0078125,30
3,boman_index,576,144,63,16,8.142857142857142,0.98828125,0.9843912760416667,0.0038899739583333334,0.003043873390823238,-0.0009765625,0.00927734375,30
3,AAC_G,576,144,63,16,8.142857142857142,0.98828125,0.9846516927083333,0.0036295572916666668,0.0028835359257482892,-0.0009765625,0.00830078125,30
3,isoelectric_point,576,144,63,16,8.142857142857142,0.98828125,0.9848470052083333,0.0034342447916666666,0.0019083435971256378,-0.00048828125,0.005859375,30
3,instability_index,576,144,63,16,8.142857142857142,0.98828125,0.98623046875,0.00205078125,0.001593344533023523,-0.00341796875,0.0048828125,30
3,AAC_A,576,144,63,16,8.142857142857142,0.98828125,0.9863118489583333,0.0019694010416666666,0.0012398043088913632,0.00048828125,0.0048828125,30
3,AAC_R,576,144,63,16,8.142857142857142,0.98828125,0.9863118489583333,0.0019694010416666666,0.0024278426206582036,-0.00146484375,0.0078125,30
3,AAC_Q,576,144,63,16,8.142857142857142,0.98828125,0.9865234375,0.0017578125,0.001482140162015696,-0.0009765625,0.0048828125,30
3,charge_density,576,144,63,16,8.142857142857142,0.98828125,0.986767578125,0.001513671875,0.0008442685225747394,0.0,0.00341796875,30
3,AAC_V,576,144,63,16,8.142857142857142,0.98828125,0.9869140625,0.0013671875,0.0007298919127770114,0.0,0.00244140625,30
3,AAC_E,576,144,63,16,8.142857142857142,0.98828125,0.98720703125,0.00107421875,0.0005348853100636389,0.0,0.001953125,30
3,mean_eisenberg_hydrophobicity,576,144,63,16,8.142857142857142,0.98828125,0.9872233072916666,0.0010579427083333333,0.0018273561035388939,-0.001953125,0.00537109375,30
3,AAC_W,576,144,63,16,8.142857142857142,0.98828125,0.9873860677083334,0.0008951822916666666,0.000426895172874569,0.0,0.00146484375,30
3,AAC_L,576,144,63,16,8.142857142857142,0.98828125,0.9874674479166666,0.0008138020833333334,0.0009624291568872796,-0.00146484375,0.0029296875,30
3,AAC_I,576,144,63,16,8.142857142857142,0.98828125,0.987548828125,0.000732421875,0.0014148830098003652,-0.0009765625,0.00341796875,30
3,aromaticity,576,144,63,16,8.142857142857142,0.98828125,0.987744140625,0.000537109375,0.0010365943623326342,-0.00146484375,0.00244140625,30
3,aliphatic_index,576,144,63,16,8.142857142857142,0.98828125,0.98779296875,0.00048828125,0.0015440808887540916,-0.00390625,0.00341796875,30
3,AAC_N,576,144,63,16,8.142857142857142,0.98828125,0.987890625,0.000390625,0.0003931424804066883,0.0,0.00146484375,30
3,AAC_P,576,144,63,16,8.142857142857142,0.98828125,0.9880696614583333,0.00021158854166666667,0.0002460971352508451,0.0,0.00048828125,30
3,hydrophobic_ratio,576,144,63,16,8.142857142857142,0.98828125,0.988134765625,0.000146484375,0.0007602364902209331,-0.0009765625,0.001953125,30
3,AAC_C,576,144,63,16,8.142857142857142,0.98828125,0.98828125,0.0,0.0,0.0,0.0,30
3,AAC_D,576,144,63,16,8.142857142857142,0.98828125,0.98828125,0.0,0.0,0.0,0.0,30
3,AAC_H,576,144,63,16,8.142857142857142,0.98828125,0.98828125,0.0,0.0,0.0,0.0,30
3,AAC_M,576,144,63,16,8.142857142857142,0.98828125,0.98828125,0.0,0.0,0.0,0.0,30
3,AAC_T,576,144,63,16,8.142857142857142,0.98828125,0.98828125,0.0,0.0,0.0,0.0,30
3,AAC_Y,576,144,63,16,8.142857142857142,0.98828125,0.98828125,0.0,0.0,0.0,0.0,30
3,AAC_S,576,144,63,16,8.142857142857142,0.98828125,0.9883138020833333,-3.255208333333333e-05,0.0002543117479307558,-0.00048828125,0.00048828125,30
4,net_charge_pH7_4,576,144,63,16,8.142857142857142,0.97607421875,0.9630208333333333,0.013053385416666667,0.0034715089028727122,0.00390625,0.0185546875,30
4,molecular_weight,576,144,63,16,8.142857142857142,0.97607421875,0.9694986979166667,0.006575520833333333,0.005133536819454275,-0.00341796875,0.0166015625,30
4,AAC_F,576,144,63,16,8.142857142857142,0.97607421875,0.969970703125,0.006103515625,0.003079497445529464,-0.00244140625,0.01171875,30
4,AAC_K,576,144,63,16,8.142857142857142,0.97607421875,0.9701497395833333,0.0059244791666666664,0.0032407522940816886,-0.00146484375,0.0107421875,30
4,aliphatic_index,576,144,63,16,8.142857142857142,0.97607421875,0.9703125,0.00576171875,0.0033374029288055548,0.00048828125,0.013671875,30
4,AAC_R,576,144,63,16,8.142857142857142,0.97607421875,0.9706217447916666,0.005452473958333333,0.0030074629784838007,-0.0009765625,0.0126953125,30
4,aromaticity,576,144,63,16,8.142857142857142,0.97607421875,0.9736328125,0.00244140625,0.0013076837176015355,0.0,0.00537109375,30
4,length,576,144,63,16,8.142857142857142,0.97607421875,0.9741048177083333,0.0019694010416666666,0.001634520818973094,-0.001953125,0.0048828125,30
4,AAC_G,576,144,63,16,8.142857142857142,0.97607421875,0.9742024739583334,0.0018717447916666667,0.0013453857776731962,-0.00048828125,0.0048828125,30
4,mean_eisenberg_hydrophobicity,576,144,63,16,8.142857142857142,0.97607421875,0.9743815104166667,0.0016927083333333334,0.0020182653755557974,-0.00244140625,0.00537109375,30
4,AAC_I,576,144,63,16,8.142857142857142,0.97607421875,0.974462890625,0.001611328125,0.0016677158166709441,-0.001953125,0.00439453125,30
4,AAC_A,576,144,63,16,8.142857142857142,0.97607421875,0.9745768229166667,0.0014973958333333334,0.001527665418786903,-0.0009765625,0.00439453125,30
4,AAC_W,576,144,63,16,8.142857142857142,0.97607421875,0.9747721354166666,0.0013020833333333333,0.0009276309824040938,-0.00048828125,0.0029296875,30
4,isoelectric_point,576,144,63,16,8.142857142857142,0.97607421875,0.9749674479166667,0.0011067708333333333,0.0023220888244226234,-0.0029296875,0.0068359375,30
4,hydrophobic_moment,576,144,63,16,8.142857142857142,0.97607421875,0.9751627604166667,0.0009114583333333333,0.003197334859054479,-0.00537109375,0.00830078125,30
4,AAC_E,576,144,63,16,8.142857142857142,0.97607421875,0.9753092447916667,0.0007649739583333333,0.0014375563976962214,-0.001953125,0.00341796875,30
4,charge_density,576,144,63,16,8.142857142857142,0.97607421875,0.9753580729166667,0.0007161458333333333,0.0019604075794027297,-0.0029296875,0.00537109375,30
4,AAC_V,576,144,63,16,8.142857142857142,0.97607421875,0.9754231770833334,0.0006510416666666666,0.0009624291568872796,-0.0009765625,0.00341796875,30
4,AAC_N,576,144,63,16,8.142857142857142,0.97607421875,0.975439453125,0.000634765625,0.0008325011384120146,-0.00146484375,0.00244140625,30
4,AAC_D,576,144,63,16,8.142857142857142,0.97607421875,0.9755533854166667,0.0005208333333333333,0.000495523694731372,0.0,0.0009765625,30
4,boman_index,576,144,63,16,8.142857142857142,0.97607421875,0.9755533854166667,0.0005208333333333333,0.0034381938301871204,-0.0068359375,0.00537109375,30
4,AAC_S,576,144,63,16,8.142857142857142,0.97607421875,0.97568359375,0.000390625,0.00019865141707640932,0.0,0.00048828125,30
4,AAC_T,576,144,63,16,8.142857142857142,0.97607421875,0.9759440104166667,0.00013020833333333333,0.000219617404838283,0.0,0.00048828125,30
4,AAC_C,576,144,63,16,8.142857142857142,0.97607421875,0.97607421875,0.0,0.0,0.0,0.0,30
4,AAC_M,576,144,63,16,8.142857142857142,0.97607421875,0.97607421875,0.0,0.0,0.0,0.0,30
4,AAC_Y,576,144,63,16,8.142857142857142,0.97607421875,0.97607421875,0.0,0.0,0.0,0.0,30
4,instability_index,576,144,63,16,8.142857142857142,0.97607421875,0.9761067708333333,-3.255208333333333e-05,0.0015383910273440728,-0.00341796875,0.00244140625,30
4,AAC_H,576,144,63,16,8.142857142857142,0.97607421875,0.9761555989583334,-8.138020833333333e-05,0.00018508253017063072,-0.00048828125,0.0,30
4,AAC_Q,576,144,63,16,8.142857142857142,0.97607421875,0.9761555989583334,-8.138020833333333e-05,0.0005452871839842432,-0.0009765625,0.0009765625,30
4,AAC_P,576,144,63,16,8.142857142857142,0.97607421875,0.9767252604166666,-0.0006510416666666666,0.00034724560655212866,-0.00146484375,0.0,30
4,hydrophobic_ratio,576,144,63,16,8.142857142857142,0.97607421875,0.9771647135416667,-0.0010904947916666667,0.0005392226337667849,-0.001953125,0.0,30
4,AAC_L,576,144,63,16,8.142857142857142,0.97607421875,0.97724609375,-0.001171875,0.0016650022768240295,-0.00390625,0.00244140625,30
5,molecular_weight,576,144,64,15,8.0,0.9901808785529717,0.9807924203273041,0.009388458225667588,0.005782069586062796,1.1102230246251565e-16,0.02170542635658923,30
5,boman_index,576,144,64,15,8.0,0.9901808785529717,0.9833763996554694,0.006804478897502231,0.003975573278601907,-0.0015503875968991832,0.012919896640826933,30
5,net_charge_pH7_4,576,144,64,15,8.0,0.9901808785529717,0.9839621016365202,0.006218776916451429,0.0023952587555655346,0.0020671834625324292,0.011886304909560885,30
5,aliphatic_index,576,144,64,15,8.0,0.9901808785529717,0.985615848406546,0.004565030146425549,0.002856786182734696,-0.001033591731266048,0.012919896640826933,30
5,AAC_F,576,144,64,15,8.0,0.9901808785529717,0.9866322136089579,0.0035486649440138575,0.0035174949241939383,-0.0015503875968990721,0.01136950904392775,30
5,mean_eisenberg_hydrophobicity,576,144,64,15,8.0,0.9901808785529717,0.9867355727820843,0.0034453057708872525,0.0019447543798404756,0.0005167958656331351,0.008268733850129273,30
5,hydrophobic_moment,576,144,64,15,8.0,0.9901808785529717,0.9870284237726099,0.0031524547803618353,0.0019257985106439876,-0.002067183462532207,0.00671834625323009,30
5,AAC_K,576,144,64,15,8.0,0.9901808785529717,0.9878208440999138,0.0023600344530577875,0.0020923502936364435,-0.002067183462532207,0.007235142118863114,30
5,AAC_I,576,144,64,15,8.0,0.9901808785529717,0.9896813092161929,0.0004995693367786825,0.00089494520169542,-0.001033591731266159,0.002067183462532318,30
5,AAC_L,576,144,64,15,8.0,0.9901808785529717,0.9899224806201551,0.00025839793281659345,0.001453822468953464,-0.0025839793281653423,0.0025839793281654533,30
5,AAC_R,576,144,64,15,8.0,0.9901808785529717,0.9901119724375539,6.890611541782536e-05,0.001421688058072791,-0.0031007751937983663,0.0020671834625324292,30
5,AAC_Y,576,144,64,15,8.0,0.9901808785529717,0.9901291989664085,5.167958656337272e-05,0.0007837597358192602,-0.0015503875968990721,0.0015503875968992942,30
5,AAC_Q,576,144,64,15,8.0,0.9901808785529717,0.9901636520241173,1.722652885451555e-05,0.0010017673309477555,-0.0025839793281653423,0.0015503875968992942,30
5,AAC_C,576,144,64,15,8.0,0.9901808785529717,0.9901808785529719,0.0,0.0,0.0,0.0,30
5,AAC_H,576,144,64,15,8.0,0.9901808785529717,0.9901808785529719,0.0,0.0,0.0,0.0,30
5,AAC_M,576,144,64,15,8.0,0.9901808785529717,0.9901808785529719,0.0,0.0,0.0,0.0,30
5,AAC_P,576,144,64,15,8.0,0.9901808785529717,0.9901808785529719,0.0,0.0,0.0,0.0,30
5,AAC_S,576,144,64,15,8.0,0.9901808785529717,0.9901808785529719,0.0,0.0,0.0,0.0,30
5,AAC_W,576,144,64,15,8.0,0.9901808785529717,0.9902842377260982,-0.0001033591731265123,0.0010371497167668638,-0.0025839793281652312,0.002067183462532318,30
5,AAC_N,576,144,64,15,8.0,0.9901808785529717,0.9903703703703706,-0.00018949181739872736,0.0011869117608260741,-0.002067183462532318,0.002067183462532318,30
5,instability_index,576,144,64,15,8.0,0.9901808785529717,0.9904048234280793,-0.00022394487510758084,0.0013952058254902975,-0.0031007751937983663,0.0031007751937984773,30
5,AAC_D,576,144,64,15,8.0,0.9901808785529717,0.9904392764857882,-0.0002583979328164454,0.0006614040295783533,-0.0015503875968990721,0.001033591731266159,30
5,length,576,144,64,15,8.0,0.9901808785529717,0.9904565030146427,-0.00027562446167089436,0.0018446231846757344,-0.004134366925064525,0.0041343669250647475,30
5,AAC_E,576,144,64,15,8.0,0.9901808785529717,0.9904737295434969,-0.00029285099052532847,0.0016493042292157105,-0.004134366925064525,0.004134366925064636,30
5,charge_density,576,144,64,15,8.0,0.9901808785529717,0.9905426356589146,-0.0003617571059430798,0.0012150294173775221,-0.0031007751937983663,0.0015503875968992942,30
5,isoelectric_point,576,144,64,15,8.0,0.9901808785529717,0.9905770887166238,-0.0003962101636519666,0.0023844686682315958,-0.0046511627906976605,0.00568475452196382,30
5,AAC_T,576,144,64,15,8.0,0.9901808785529717,0.9905943152454779,-0.00041343669250638225,0.0007843470418108661,-0.002067183462532207,0.001033591731266159,30
5,AAC_G,576,144,64,15,8.0,0.9901808785529717,0.9909388458225669,-0.0007579672695950908,0.0014086726355784234,-0.0036175710594315014,0.0025839793281654533,30
5,AAC_V,576,144,64,15,8.0,0.9901808785529717,0.9911800172265288,-0.0009991386735571908,0.001564775281388184,-0.004134366925064525,0.001033591731266159,30
5,aromaticity,576,144,64,15,8.0,0.9901808785529717,0.991472868217054,-0.0012919896640826304,0.001533965117853013,-0.0051679586563306845,0.001033591731266159,30
5,hydrophobic_ratio,576,144,64,15,8.0,0.9901808785529717,0.9918690783807061,-0.0016881998277346341,0.0011510657252923196,-0.004134366925064525,0.0005167958656332461,30
5,AAC_A,576,144,64,15,8.0,0.9901808785529717,0.9923169681309217,-0.0021360895779499772,0.0014600383403133553,-0.004134366925064525,0.0015503875968992942,30
