metric,hard_n,hard_mean,hard_sd,hard_median,hard_min,hard_max,reference_n,reference_mean,reference_sd,reference_median,reference_min,reference_max,hard_minus_reference_mean,hard_to_reference_mean_ratio
fraction_L,15,0.2590269063482148,0.09587903781290269,0.30434782608695654,0.05263157894736842,0.38461538461538464,166,0.13691729502321026,0.09131303381906734,0.13484848484848483,0.0,0.38461538461538464,0.12210961132500453,1.8918494285495815
fraction_M,15,0.0017543859649122805,0.0067947076249252935,0.0,0.0,0.02631578947368421,166,0.025748726214799015,0.04391049219302994,0.0,0.0,0.23529411764705882,-0.023994340249886736,0.06813486423666083
fraction_N,15,0.007212475633528265,0.019041694447628623,0.0,0.0,0.05555555555555555,166,0.04131487494895832,0.056618801563399546,0.0,0.0,0.25,-0.034102399315430056,0.17457333811221215
fraction_P,15,0.003508771929824561,0.013589415249850587,0.0,0.0,0.05263157894736842,166,0.018557981847546756,0.03308234478268199,0.0,0.0,0.1875,-0.015049209917722194,0.189070770660787
fraction_Q,15,0.0,0.0,0.0,0.0,0.0,166,0.038055635280559545,0.04726707264536841,0.0,0.0,0.21428571428571427,-0.038055635280559545,0.0
fraction_R,15,0.026384588923288613,0.05400453997843346,0.0,0.0,0.17647058823529413,166,0.05193851065195171,0.0614115994388146,0.04083333333333333,0.0,0.29411764705882354,-0.025553921728663095,0.5079966404908292
fraction_S,15,0.0,0.0,0.0,0.0,0.0,166,0.04965688998282105,0.05697729705843387,0.046536796536796536,0.0,0.23529411764705882,-0.04965688998282105,0.0
fraction_T,15,0.0,0.0,0.0,0.0,0.0,166,0.035639103924967684,0.05104164414177433,0.0,0.0,0.23076923076923078,-0.035639103924967684,0.0
fraction_V,15,0.055917744965732576,0.07654087218158506,0.0,0.0,0.1875,166,0.06350919947867806,0.0646577728582152,0.058823529411764705,0.0,0.3,-0.007591454512945482,0.880466852436171
fraction_W,15,0.007309941520467836,0.022096277231014372,0.0,0.0,0.08333333333333333,166,0.013224487757103345,0.031309657256920254,0.0,0.0,0.18181818181818182,-0.0059145462366355095,0.5527580088341346
fraction_Y,15,0.005128205128205128,0.019861453057473936,0.0,0.0,0.07692307692307693,166,0.026404120528058062,0.0408663238286463,0.0,0.0,0.21428571428571427,-0.021275915399852935,0.19421988029314194
basic_KRH,15,0.30141340738998573,0.0958459473540092,0.3076923076923077,0.1111111111111111,0.47058823529411764,166,0.17998101273755657,0.10863105384601018,0.16666666666666666,0.0,0.5,0.12143239465242917,1.6746955848587128
acidic_DE,15,0.003508771929824561,0.013589415249850587,0.0,0.0,0.05263157894736842,166,0.10903992064576191,0.08435599510577946,0.11437908496732026,0.0,0.4666666666666667,-0.10553114871593736,0.032178782862686696
aromatic_FWY,15,0.088620507073529,0.05537747000301058,0.07692307692307693,0.0,0.23076923076923078,166,0.08450555299854275,0.07240517154394857,0.07019704433497537,0.0,0.36363636363636365,0.004114954074986257,1.0486944813562395
hydrophobic_AVILMFWY,15,0.658455013662646,0.08331250126282537,0.6923076923076923,0.47368421052631576,0.75,166,0.480338233770502,0.11313970547105912,0.47213622291021673,0.17647058823529413,0.7272727272727273,0.17811677989214403,1.3708153283863833
small_AGST,15,0.23825042172397135,0.05154076930237575,0.25,0.11764705882352941,0.3333333333333333,166,0.24332787043974474,0.12027090396083383,0.25,0.0,0.5454545454545454,-0.005077448715773397,0.9791333039384376
proline_glycine_PG,15,0.02941033138401559,0.056160088510160015,0.0,0.0,0.18421052631578946,166,0.0654723206767444,0.06242682511065633,0.0625,0.0,0.2727272727272727,-0.0360619892927288,0.4492025191717707
strong_basic_KR,15,0.30141340738998573,0.0958459473540092,0.3076923076923077,0.1111111111111111,0.47058823529411764,166,0.1579863437281764,0.10483570021157959,0.14285714285714285,0.0,0.5,0.14342706366180932,1.9078446926310475
KR_minus_DE_fraction,15,0.2979046354601611,0.09928049326656349,0.3076923076923077,0.1111111111111111,0.47058823529411764,166,0.048946423082414474,0.15017829755419232,0.019230769230769232,-0.4,0.5,0.24895821237774662,6.0863412829689
K_minus_R_fraction,15,0.24864422954340845,0.12935958307343967,0.3076923076923077,0.0,0.46153846153846156,166,0.05410932242427299,0.1341039988972395,0.04653679653679654,-0.25,0.5,0.19453490711913546,4.595219795838151
max_KR_run,15,1.8,0.41403933560541256,2.0,1.0,2.0,166,1.2771084337349397,0.6753361095766596,1.0,0.0,3.0,0.5228915662650604,1.4094339622641512
