n_estimators,max_depth,min_samples_leaf,fold,train_n,validation_n,input_dimensions,scaler_used,pca_used,validation_AUROC,validation_AUPRC,validation_MCC,validation_F1,locked_test_rows_used
300,5,5,5,576,144,1280,False,False,0.9777777777777779,0.8653773263773263,0.6766321561663009,0.7027027027027027,0
300,10,1,1,576,144,1280,False,False,0.96875,0.7910954685540013,0.6678270969037458,0.7027027027027027,0
300,10,1,2,576,144,1280,False,False,0.98193359375,0.8874208834251405,0.6902964310888365,0.717948717948718,0
300,10,1,3,576,144,1280,False,False,0.99267578125,0.9553086180124224,0.7525494303773609,0.7777777777777778,0
300,10,1,4,576,144,1280,False,False,0.994140625,0.9506340014152515,0.8556534679079243,0.8648648648648649,0
300,10,1,5,576,144,1280,False,False,0.9855297157622739,0.9209146557942747,0.7911215487044864,0.8125,0
300,10,3,1,576,144,1280,False,False,0.96728515625,0.7407148924729942,0.7506135949703854,0.7692307692307693,0
300,10,3,2,576,144,1280,False,False,0.9853515625,0.9199286109236767,0.6957509801188752,0.7142857142857143,0
300,10,3,3,576,144,1280,False,False,0.9931640625,0.9550527597402597,0.7930446775731982,0.8108108108108109,0
300,10,3,4,576,144,1280,False,False,0.99462890625,0.9568840014152515,0.8556534679079243,0.8648648648648649,0
300,10,3,5,576,144,1280,False,False,0.9808785529715762,0.8819675068939774,0.7647165723025928,0.7878787878787878,0
300,10,5,1,576,144,1280,False,False,0.96630859375,0.7560096467383366,0.7506135949703854,0.7692307692307693,0
300,10,5,2,576,144,1280,False,False,0.98388671875,0.8952387990431468,0.6957509801188752,0.7142857142857143,0
300,10,5,3,576,144,1280,False,False,0.99072265625,0.9375415485250044,0.8109307588519342,0.8205128205128205,0
300,10,5,4,576,144,1280,False,False,0.9921875,0.9165318188755689,0.8556534679079243,0.8648648648648649,0
300,10,5,5,576,144,1280,False,False,0.978811369509044,0.8697651259415965,0.6580243263020736,0.6842105263157895,0
600,None,1,1,576,144,1280,False,False,0.96728515625,0.7763700897661223,0.6247580176717713,0.6666666666666666,0
600,None,1,2,576,144,1280,False,False,0.983154296875,0.8935737158187818,0.730435887238472,0.7567567567567568,0
600,None,1,3,576,144,1280,False,False,0.991943359375,0.9489058924485125,0.7762595876177124,0.8,0
600,None,1,4,576,144,1280,False,False,0.994140625,0.9506340014152515,0.8556534679079243,0.8648648648648649,0
600,None,1,5,576,144,1280,False,False,0.9839793281653747,0.9169991404336755,0.7911215487044864,0.8125,0
600,None,3,1,576,144,1280,False,False,0.96533203125,0.7504375766093446,0.7506135949703854,0.7692307692307693,0
600,None,3,2,576,144,1280,False,False,0.98583984375,0.9205388752723311,0.654685760787686,0.6829268292682927,0
600,None,3,3,576,144,1280,False,False,0.994140625,0.9611656983367509,0.8325754129097365,0.8421052631578947,0
600,None,3,4,576,144,1280,False,False,0.99462890625,0.9568840014152514,0.8556534679079243,0.8648648648648649,0
600,None,3,5,576,144,1280,False,False,0.9793281653746769,0.8860667132431839,0.7647165723025928,0.7878787878787878,0
600,None,5,1,576,144,1280,False,False,0.96533203125,0.7437416145254515,0.7506135949703854,0.7692307692307693,0
600,None,5,2,576,144,1280,False,False,0.984375,0.9056730747931405,0.6957509801188752,0.7142857142857143,0
600,None,5,3,576,144,1280,False,False,0.99169921875,0.9427667361877888,0.8109307588519342,0.8205128205128205,0
600,None,5,4,576,144,1280,False,False,0.9931640625,0.935877056970807,0.8556534679079243,0.8648648648648649,0
600,None,5,5,576,144,1280,False,False,0.978811369509044,0.8697651259415965,0.6766321561663009,0.7027027027027027,0
600,5,1,1,576,144,1280,False,False,0.96533203125,0.7514313293736082,0.7506135949703854,0.7692307692307693,0
600,5,1,2,576,144,1280,False,False,0.9814453125,0.8883933926697084,0.654685760787686,0.6829268292682927,0
600,5,1,3,576,144,1280,False,False,0.990234375,0.9367584896277351,0.7711559152360674,0.7894736842105263,0
600,5,1,4,576,144,1280,False,False,0.99365234375,0.943689556970807,0.8556534679079243,0.8648648648648649,0
600,5,1,5,576,144,1280,False,False,0.9803617571059431,0.8921944765274958,0.6766321561663009,0.7027027027027027,0
600,5,3,1,576,144,1280,False,False,0.96533203125,0.7497345798934169,0.7506135949703854,0.7692307692307693,0
600,5,3,2,576,144,1280,False,False,0.984375,0.9099125852826511,0.6957509801188752,0.7142857142857143,0
600,5,3,3,576,144,1280,False,False,0.9921875,0.9475744284954811,0.8109307588519342,0.8205128205128205,0
600,5,3,4,576,144,1280,False,False,0.99365234375,0.943689556970807,0.8556534679079243,0.8648648648648649,0
