n_estimators,max_depth,learning_rate,subsample,colsample_bytree,fold,train_n,validation_n,train_active,train_inactive,scale_pos_weight,input_dimensions,scaler_used,pca_used,validation_AUROC,validation_AUPRC,validation_MCC,validation_F1,locked_test_rows_used
200,5,0.03,0.8,0.6,5,576,144,64,512,8.0,1280,False,False,0.9798449612403101,0.8676353084973775,0.7911215487044864,0.8125,0
200,5,0.03,0.8,0.9,1,576,144,63,513,8.142857142857142,1280,False,False,0.970703125,0.775924057072155,0.6456738625979104,0.6857142857142857,0
200,5,0.03,0.8,0.9,2,576,144,63,513,8.142857142857142,1280,False,False,0.98828125,0.9285729895104895,0.8415524501276135,0.8571428571428571,0
200,5,0.03,0.8,0.9,3,576,144,63,513,8.142857142857142,1280,False,False,0.99267578125,0.948540521978022,0.859375,0.875,0
200,5,0.03,0.8,0.9,4,576,144,63,513,8.142857142857142,1280,False,False,0.99462890625,0.960681628420599,0.8415524501276135,0.8571428571428571,0
200,5,0.03,0.8,0.9,5,576,144,64,512,8.0,1280,False,False,0.979328165374677,0.8665600396801731,0.8198127976897006,0.8387096774193549,0
200,5,0.03,1.0,0.6,1,576,144,63,513,8.142857142857142,1280,False,False,0.9716796875,0.7932172877385473,0.6456738625979104,0.6857142857142857,0
200,5,0.03,1.0,0.6,2,576,144,63,513,8.142857142857142,1280,False,False,0.986328125,0.9088390713361064,0.8415524501276135,0.8571428571428571,0
200,5,0.03,1.0,0.6,3,576,144,63,513,8.142857142857142,1280,False,False,0.99072265625,0.9332537254412254,0.8198127976897006,0.8387096774193549,0
200,5,0.03,1.0,0.6,4,576,144,63,513,8.142857142857142,1280,False,False,0.99462890625,0.9612637362637363,0.8415524501276135,0.8571428571428571,0
200,5,0.03,1.0,0.6,5,576,144,64,512,8.0,1280,False,False,0.9819121447028424,0.869807174945106,0.8198127976897006,0.8387096774193549,0
200,5,0.03,1.0,0.9,1,576,144,63,513,8.142857142857142,1280,False,False,0.970703125,0.7708152085011353,0.688653724024566,0.7222222222222222,0
200,5,0.03,1.0,0.9,2,576,144,63,513,8.142857142857142,1280,False,False,0.98486328125,0.9021491886381592,0.8415524501276135,0.8571428571428571,0
200,5,0.03,1.0,0.9,3,576,144,63,513,8.142857142857142,1280,False,False,0.990234375,0.932333215191671,0.7474763743641388,0.7741935483870968,0
200,5,0.03,1.0,0.9,4,576,144,63,513,8.142857142857142,1280,False,False,0.994140625,0.9576179029304029,0.8415524501276135,0.8571428571428571,0
200,5,0.03,1.0,0.9,5,576,144,64,512,8.0,1280,False,False,0.9762273901808786,0.818286091406225,0.7402946913967161,0.7647058823529411,0
200,5,0.1,0.8,0.6,1,576,144,63,513,8.142857142857142,1280,False,False,0.97509765625,0.7940474090967513,0.688653724024566,0.7222222222222222,0
200,5,0.1,0.8,0.6,2,576,144,63,513,8.142857142857142,1280,False,False,0.98876953125,0.9321873212149581,0.8685990362153793,0.8823529411764706,0
200,5,0.1,0.8,0.6,3,576,144,63,513,8.142857142857142,1280,False,False,0.99169921875,0.9444741399904443,0.859375,0.875,0
200,5,0.1,0.8,0.6,4,576,144,63,513,8.142857142857142,1280,False,False,0.9951171875,0.9654893207282913,0.8164451367301556,0.8333333333333334,0
200,5,0.1,0.8,0.6,5,576,144,64,512,8.0,1280,False,False,0.9746770025839793,0.842395844895845,0.7911215487044864,0.8125,0
