representation,pca_components,C,gamma,mean_cv_AUROC,sd_cv_AUROC,mean_cv_AUPRC,sd_cv_AUPRC,mean_cv_MCC,sd_cv_MCC,mean_cv_F1,sd_cv_F1,fit_warnings,selected
no_pca,,10.0,0.001,0.9761946362241603,0.025927072797250896,0.9139164867232191,0.04809036998046869,0.7659995718639542,0.08286137141088733,0.7861111111111111,0.07280819386084551,5,False
no_pca,,100.0,scale,0.9761718245316537,0.027196103446676015,0.9146680263726324,0.05431215301631227,0.7983903373204841,0.05090078766484828,0.816588504088504,0.04217796537759188,5,False
pca_99,99.0,100.0,scale,0.9761433099160207,0.02856974418009885,0.9151864539962787,0.06104204727551713,0.795284775667704,0.07328553718537212,0.8163943583298423,0.06495156801159128,5,False
no_pca,,10.0,scale,0.9760798712047803,0.026843264787616544,0.9132609509839202,0.05304874918476546,0.7746428462338975,0.084343874113813,0.7949290363778684,0.07345549984214321,5,False
pca_99,99.0,100.0,0.001,0.9760570595122738,0.027841469108335255,0.9145910673928741,0.055186412463021146,0.7789613801407419,0.059697368730814396,0.8023301985370951,0.05274288330863403,5,False
pca_274,274.0,100.0,0.001,0.9757697936854004,0.027506820002381666,0.9145605362705911,0.05214598405686688,0.7932696183660649,0.06795611686353338,0.815060745705907,0.06066964389221983,5,False
pca_274,274.0,10.0,0.001,0.9754768249354004,0.027332328308543888,0.9129750196966819,0.050641797137001184,0.7791673808819255,0.06666270613340405,0.8008042245111211,0.05650355363312761,5,False
pca_24,24.0,100.0,scale,0.9753563569928941,0.02867784783097382,0.911904330623592,0.06750212191556695,0.8337554432776282,0.12128632477970254,0.8503797644044978,0.10815407142539912,5,False
pca_274,274.0,10.0,scale,0.9752644036660207,0.028072370170028615,0.9098593301016493,0.055159212498261743,0.7735352667637843,0.06680713910962979,0.7958799820868786,0.0563019565008037,5,False
pca_52,52.0,100.0,scale,0.9751724503391472,0.027852179222363223,0.9078900045283682,0.06627575208903151,0.7960530405819205,0.05197225303160046,0.8177361853832442,0.0454862529652977,5,False
pca_24,24.0,100.0,0.001,0.9750633882428941,0.0285261154585949,0.9108514094551247,0.06636312035759079,0.8265470951237779,0.11518838376930872,0.8443582590281536,0.10310107854744904,5,False
no_pca,,0.1,0.001,0.9748759488049096,0.008334342922971283,0.8134279281952674,0.04794829196405833,0.6573951498335983,0.10376171351163085,0.6958407605466429,0.09193879728743942,5,False
pca_24,24.0,0.1,scale,0.9747896984011628,0.010435052760016909,0.822271634474616,0.06772891721861728,0.6727075482279794,0.11110435244896451,0.7076357029298206,0.09767990768375824,5,False
pca_24,24.0,0.1,0.001,0.9747839954780362,0.010652893872907469,0.8208232217762035,0.06947159128411119,0.6781168654455325,0.1215476029556269,0.7126777197365433,0.10748496635889333,5,False
pca_52,52.0,100.0,0.001,0.9746841690891472,0.02761310827095182,0.9069016374352217,0.06447416520773804,0.787331030789636,0.06904402256232223,0.8096716692542121,0.06131745436379342,5,False
pca_52,52.0,0.1,0.001,0.9741232134205425,0.009685821898683947,0.8132628215106049,0.06789908111511309,0.6522932614674116,0.12501068503780643,0.6909617180205416,0.11051500761545817,5,False
pca_274,274.0,0.1,0.001,0.9739856367086563,0.009111903506830173,0.8043743848410274,0.05936924024859468,0.6528993013969682,0.10366600754039772,0.6918071471012648,0.09183045724897354,5,False
pca_99,99.0,10.0,0.001,0.9739720607235143,0.028422292079029837,0.9053144838965498,0.051290382117144484,0.7576906627726397,0.08340310605252203,0.7827716823406479,0.07292801210624028,5,False
pca_99,99.0,10.0,scale,0.973862998627261,0.029067555993400756,0.9004484736575489,0.06241492671400878,0.7496265421614137,0.09114719370390541,0.7755747126436782,0.07967598540516493,5,False
pca_52,52.0,0.1,scale,0.9736349321705425,0.009868840460155607,0.8111684799861163,0.06603230107824559,0.6608892337527428,0.1259161413330439,0.6982633053221289,0.11128497801197175,5,False
pca_99,99.0,0.1,0.001,0.9734973554586563,0.009851260738639268,0.8068318065594784,0.06868442436192301,0.6565511291858288,0.12338967097174193,0.6948832866479926,0.10890381020201752,5,False
pca_274,274.0,0.1,scale,0.9733134488049096,0.009460683729916361,0.8116068423037479,0.05158480913879294,0.6522932614674116,0.12501068503780643,0.6909617180205416,0.11051500761545817,5,False
pca_24,24.0,10.0,0.01,0.9732271984011629,0.011429052150851656,0.8780465934148672,0.028714110363456564,0.6949887545711517,0.06404328979543923,0.7040366300366301,0.07077734692840672,5,False
pca_24,24.0,100.0,0.01,0.9732271984011629,0.011429052150851656,0.8780465934148672,0.028714110363456564,0.6949887545711517,0.06404328979543923,0.7040366300366301,0.07077734692840672,5,False
no_pca,,0.1,scale,0.9730261829780362,0.00949334307870372,0.8024722876691934,0.049300347745745036,0.6607424880288179,0.12047699982508626,0.6985807656395892,0.10637400939916651,5,False
pca_99,99.0,0.1,scale,0.9727389171511629,0.010274774207807747,0.8066553187456067,0.06129584716536157,0.6522932614674116,0.12501068503780643,0.6909617180205416,0.11051500761545817,5,False
pca_52,52.0,10.0,scale,0.9720994832041343,0.028356754241044224,0.8909806281091406,0.061497289368497604,0.7875570032554895,0.08862258595220264,0.8092581626643984,0.0768146956940995,5,False
pca_52,52.0,10.0,0.001,0.9720937802810077,0.028731855251238586,0.894216856622623,0.06228071348878919,0.7788626985700946,0.0863127937031201,0.8018103448275863,0.07462338556383197,5,False
pca_24,24.0,10.0,0.001,0.971958701752261,0.028063471500169274,0.8956018201319091,0.059271199786878774,0.7896158813810747,0.09617897931186153,0.8113549368579467,0.0839321431896171,5,False
pca_24,24.0,10.0,scale,0.971909873627261,0.028069068987556813,0.8954273546120488,0.06096989401812223,0.7961707255841273,0.10299697257602392,0.8170000981482692,0.09001200201803818,5,False
pca_52,52.0,10.0,0.01,0.9707843790374676,0.016744183199969856,0.8655757759269245,0.055428058415274914,0.6244885501854892,0.10245887959420188,0.6186147186147186,0.10849155512483238,5,False
