representation,pca_components,C,gamma,fold,train_n,validation_n,scaler_fit_samples,pca_fit_samples,output_dimensions,validation_AUROC,validation_AUPRC,validation_MCC,validation_F1,fit_warnings,locked_test_rows_used
no_pca,,10.0,0.1,1,576,144,576,,1280,0.275390625,0.13285195683481368,0.0,0.0,1,0
no_pca,,10.0,0.1,2,576,144,576,,1280,0.267822265625,0.14460009977388927,0.0,0.0,1,0
no_pca,,10.0,0.1,3,576,144,576,,1280,0.21484375,0.07109975379418342,0.0,0.0,1,0
no_pca,,10.0,0.1,4,576,144,576,,1280,0.18994140625,0.06879119088691127,0.0,0.0,1,0
no_pca,,10.0,0.1,5,576,144,576,,1280,0.22790697674418603,0.06772085551919882,0.0,0.0,1,0
no_pca,,100.0,scale,1,576,144,576,,1280,0.97705078125,0.835689618008697,0.71875,0.75,1,0
no_pca,,100.0,scale,2,576,144,576,,1280,0.99169921875,0.936422039218092,0.7890625,0.8125,1,0
no_pca,,100.0,scale,3,576,144,576,,1280,0.98681640625,0.9447681704260652,0.8528028654224418,0.8571428571428571,1,0
no_pca,,100.0,scale,4,576,144,576,,1280,0.99609375,0.9719024122807018,0.8293831030561306,0.8484848484848485,1,0
no_pca,,100.0,scale,5,576,144,576,,1280,0.9291989664082687,0.8845578919296065,0.8019532181238483,0.8148148148148148,1,0
no_pca,,100.0,0.001,1,576,144,576,,1280,0.97705078125,0.8414632990919755,0.6751399510385769,0.7096774193548387,1,0
no_pca,,100.0,0.001,2,576,144,576,,1280,0.99169921875,0.9351606372213959,0.7890625,0.8125,1,0
no_pca,,100.0,0.001,3,576,144,576,,1280,0.98681640625,0.9485576923076924,0.8536041880696872,0.8666666666666667,1,0
no_pca,,100.0,0.001,4,576,144,576,,1280,0.99560546875,0.9674381265664161,0.8293831030561306,0.8484848484848485,1,0
no_pca,,100.0,0.001,5,576,144,576,,1280,0.9322997416020672,0.88866939705175,0.7577876742923962,0.7692307692307693,1,0
no_pca,,100.0,0.01,1,576,144,576,,1280,0.9248046875,0.7937054976140654,0.47809144373375745,0.4,1,0
no_pca,,100.0,0.01,2,576,144,576,,1280,0.98046875,0.8597397841853487,0.47809144373375745,0.4,1,0
no_pca,,100.0,0.01,3,576,144,576,,1280,0.974609375,0.8581999885068894,0.5895263864273741,0.5833333333333334,1,0
no_pca,,100.0,0.01,4,576,144,576,,1280,0.9609375,0.7808337495837496,0.5988172421968482,0.6153846153846154,1,0
no_pca,,100.0,0.01,5,576,144,576,,1280,0.9896640826873385,0.9214789693737063,0.7112540705972631,0.6956521739130435,1,0
no_pca,,100.0,0.1,1,576,144,576,,1280,0.275390625,0.13285195683481368,0.0,0.0,1,0
no_pca,,100.0,0.1,2,576,144,576,,1280,0.267822265625,0.14460009977388927,0.0,0.0,1,0
no_pca,,100.0,0.1,3,576,144,576,,1280,0.21484375,0.07109975379418342,0.0,0.0,1,0
no_pca,,100.0,0.1,4,576,144,576,,1280,0.18994140625,0.06879119088691127,0.0,0.0,1,0
no_pca,,100.0,0.1,5,576,144,576,,1280,0.22790697674418603,0.06772085551919882,0.0,0.0,1,0
pca_24,24.0,0.1,scale,1,576,144,576,576.0,24,0.966796875,0.7321872672416151,0.5803810000880093,0.6285714285714286,1,0
pca_24,24.0,0.1,scale,2,576,144,576,576.0,24,0.96484375,0.7916784395259795,0.6052183065690196,0.6486486486486487,1,0
pca_24,24.0,0.1,scale,3,576,144,576,576.0,24,0.97998046875,0.8623486448715282,0.730435887238472,0.7567567567567568,1,0
pca_24,24.0,0.1,scale,4,576,144,576,576.0,24,0.990234375,0.9097062761584821,0.8415524501276135,0.8571428571428571,1,0
pca_24,24.0,0.1,scale,5,576,144,576,576.0,24,0.972093023255814,0.8154375445754756,0.6059500971167827,0.6470588235294118,1,0
pca_24,24.0,0.1,0.001,1,576,144,576,576.0,24,0.966796875,0.7321872672416151,0.5803810000880093,0.6285714285714286,1,0
pca_24,24.0,0.1,0.001,2,576,144,576,576.0,24,0.96484375,0.7916784395259795,0.6052183065690196,0.6486486486486487,1,0
pca_24,24.0,0.1,0.001,3,576,144,576,576.0,24,0.97998046875,0.8623486448715282,0.730435887238472,0.7567567567567568,1,0
pca_24,24.0,0.1,0.001,4,576,144,576,576.0,24,0.99072265625,0.9135753237775297,0.8685990362153793,0.8823529411764706,1,0
pca_24,24.0,0.1,0.001,5,576,144,576,576.0,24,0.9715762273901809,0.8043264334643645,0.6059500971167827,0.6470588235294118,1,0
pca_24,24.0,0.1,0.01,1,576,144,576,576.0,24,0.97509765625,0.8040844572094572,0.23652495839563303,0.11764705882352941,1,0
pca_24,24.0,0.1,0.01,2,576,144,576,576.0,24,0.95263671875,0.7328457468743846,0.1468567377019206,0.1111111111111111,1,0
pca_24,24.0,0.1,0.01,3,576,144,576,576.0,24,0.9521484375,0.8014727231832496,0.23652495839563303,0.11764705882352941,1,0
pca_24,24.0,0.1,0.01,4,576,144,576,576.0,24,0.97119140625,0.7665535087869647,0.23652495839563303,0.11764705882352941,1,0
pca_24,24.0,0.1,0.01,5,576,144,576,576.0,24,0.979328165374677,0.8432967445351347,0.24523429641846617,0.125,1,0
pca_24,24.0,0.1,0.1,1,576,144,576,576.0,24,0.18408203125,0.15645869636695098,0.0,0.0,1,0
pca_24,24.0,0.1,0.1,2,576,144,576,576.0,24,0.19970703125,0.10504840862752657,0.0,0.0,1,0
pca_24,24.0,0.1,0.1,3,576,144,576,576.0,24,0.1162109375,0.06687913005443369,0.0,0.0,1,0
pca_24,24.0,0.1,0.1,4,576,144,576,576.0,24,0.0615234375,0.06241246243035767,0.0,0.0,1,0
pca_24,24.0,0.1,0.1,5,576,144,576,576.0,24,0.15090439276485787,0.09170802767967376,0.0,0.0,1,0
pca_24,24.0,1.0,scale,1,576,144,576,576.0,24,0.96826171875,0.7473162127332019,0.688653724024566,0.7222222222222222,1,0
pca_24,24.0,1.0,scale,2,576,144,576,576.0,24,0.9775390625,0.8555415031118355,0.7109667251078113,0.7428571428571429,1,0
pca_24,24.0,1.0,scale,3,576,144,576,576.0,24,0.9931640625,0.9573778195488722,0.8293831030561306,0.8484848484848485,1,0
pca_24,24.0,1.0,scale,4,576,144,576,576.0,24,0.994140625,0.9452553971226572,0.8685990362153793,0.8823529411764706,1,0
pca_24,24.0,1.0,scale,5,576,144,576,576.0,24,0.9813953488372094,0.8681555438972318,0.7474763743641388,0.7741935483870968,1,0
pca_24,24.0,1.0,0.001,1,576,144,576,576.0,24,0.96826171875,0.7473162127332019,0.688653724024566,0.7222222222222222,1,0
pca_24,24.0,1.0,0.001,2,576,144,576,576.0,24,0.9775390625,0.8555415031118355,0.7109667251078113,0.7428571428571429,1,0
pca_24,24.0,1.0,0.001,3,576,144,576,576.0,24,0.9931640625,0.9573778195488722,0.8293831030561306,0.8484848484848485,1,0
pca_24,24.0,1.0,0.001,4,576,144,576,576.0,24,0.994140625,0.9452553971226572,0.8685990362153793,0.8823529411764706,1,0
pca_24,24.0,1.0,0.001,5,576,144,576,576.0,24,0.9819121447028425,0.8714888772305651,0.7474763743641388,0.7741935483870968,1,0
pca_24,24.0,1.0,0.01,1,576,144,576,576.0,24,0.9794921875,0.8429332780176181,0.5477225575051661,0.56,1,0
pca_24,24.0,1.0,0.01,2,576,144,576,576.0,24,0.9736328125,0.8253819724568474,0.6470396333157187,0.6666666666666666,1,0
pca_24,24.0,1.0,0.01,3,576,144,576,576.0,24,0.95458984375,0.8852613803205378,0.7302967433402214,0.72,1,0
pca_24,24.0,1.0,0.01,4,576,144,576,576.0,24,0.970703125,0.8216965428362487,0.6929023281557339,0.7142857142857143,1,0
pca_24,24.0,1.0,0.01,5,576,144,576,576.0,24,0.9560723514211886,0.8826287438052143,0.7577876742923962,0.7692307692307693,1,0
pca_24,24.0,1.0,0.1,1,576,144,576,576.0,24,0.82470703125,0.669421082020816,0.23652495839563303,0.11764705882352941,1,0
pca_24,24.0,1.0,0.1,2,576,144,576,576.0,24,0.8369140625,0.5901577092085248,0.0,0.0,1,0
pca_24,24.0,1.0,0.1,3,576,144,576,576.0,24,0.903564453125,0.763002277941134,0.33567254331867563,0.2222222222222222,1,0
pca_24,24.0,1.0,0.1,4,576,144,576,576.0,24,0.951416015625,0.7237914913925942,0.34362822518363817,0.3,1,0
pca_24,24.0,1.0,0.1,5,576,144,576,576.0,24,0.8545219638242895,0.7770535085447366,0.0,0.0,1,0
pca_24,24.0,10.0,scale,1,576,144,576,576.0,24,0.97412109375,0.8148506071421125,0.6484375,0.6875,1,0
pca_24,24.0,10.0,scale,2,576,144,576,576.0,24,0.9873046875,0.8988548879633438,0.8017837257372732,0.8235294117647058,1,0
pca_24,24.0,10.0,scale,3,576,144,576,576.0,24,0.98046875,0.9517755681818182,0.8910068068039617,0.896551724137931,1,0
pca_24,24.0,10.0,scale,4,576,144,576,576.0,24,0.994140625,0.9556951272411799,0.8921492210152624,0.9032258064516129,1,0
pca_24,24.0,10.0,scale,5,576,144,576,576.0,24,0.9235142118863049,0.8559605825317899,0.7474763743641388,0.7741935483870968,1,0
pca_24,24.0,10.0,0.001,1,576,144,576,576.0,24,0.974609375,0.8172263381362646,0.6484375,0.6875,1,0
pca_24,24.0,10.0,0.001,2,576,144,576,576.0,24,0.98779296875,0.9013219932265017,0.8017837257372732,0.8235294117647058,1,0
pca_24,24.0,10.0,0.001,3,576,144,576,576.0,24,0.97998046875,0.9514508928571428,0.8910068068039617,0.896551724137931,1,0
pca_24,24.0,10.0,0.001,4,576,144,576,576.0,24,0.993896484375,0.9520492939078465,0.859375,0.875,1,0
pca_24,24.0,10.0,0.001,5,576,144,576,576.0,24,0.9235142118863049,0.8559605825317899,0.7474763743641388,0.7741935483870968,1,0
pca_24,24.0,10.0,0.01,1,576,144,576,576.0,24,0.9794921875,0.8558286428866673,0.5895263864273741,0.5833333333333334,1,0
pca_24,24.0,10.0,0.01,2,576,144,576,576.0,24,0.98681640625,0.9107114480040681,0.7044306406400331,0.7333333333333333,1,0
pca_24,24.0,10.0,0.01,3,576,144,576,576.0,24,0.9560546875,0.8909789625602446,0.7302967433402214,0.72,1,0
pca_24,24.0,10.0,0.01,4,576,144,576,576.0,24,0.9716796875,0.8408929714076774,0.6929023281557339,0.7142857142857143,1,0
pca_24,24.0,10.0,0.01,5,576,144,576,576.0,24,0.9720930232558139,0.891820942215679,0.7577876742923962,0.7692307692307693,1,0
pca_24,24.0,10.0,0.1,1,576,144,576,576.0,24,0.82470703125,0.669421082020816,0.23652495839563303,0.11764705882352941,1,0
pca_24,24.0,10.0,0.1,2,576,144,576,576.0,24,0.8369140625,0.5901577092085248,0.0,0.0,1,0
pca_24,24.0,10.0,0.1,3,576,144,576,576.0,24,0.902587890625,0.7624447400285559,0.33567254331867563,0.2222222222222222,1,0
pca_24,24.0,10.0,0.1,4,576,144,576,576.0,24,0.951416015625,0.7237914913925942,0.34362822518363817,0.3,1,0
pca_24,24.0,10.0,0.1,5,576,144,576,576.0,24,0.8545219638242895,0.7770535085447368,0.0,0.0,1,0
pca_24,24.0,100.0,scale,1,576,144,576,576.0,24,0.97705078125,0.811266959734452,0.6751399510385769,0.7096774193548387,1,0
pca_24,24.0,100.0,scale,2,576,144,576,576.0,24,0.994140625,0.9476089372229078,0.9354143466934853,0.9411764705882353,1,0
pca_24,24.0,100.0,scale,3,576,144,576,576.0,24,0.98291015625,0.9505552220888356,0.9281909617845142,0.9333333333333333,1,0
pca_24,24.0,100.0,scale,4,576,144,576,576.0,24,0.99658203125,0.9749661377708978,0.8978642767029671,0.9090909090909091,1,0
pca_24,24.0,100.0,scale,5,576,144,576,576.0,24,0.9260981912144702,0.8751243963008669,0.7321676801685973,0.7586206896551724,1,0
pca_24,24.0,100.0,0.001,1,576,144,576,576.0,24,0.97705078125,0.811266959734452,0.6751399510385769,0.7096774193548387,1,0
pca_24,24.0,100.0,0.001,2,576,144,576,576.0,24,0.994140625,0.9476089372229078,0.9354143466934853,0.9411764705882353,1,0
pca_24,24.0,100.0,0.001,3,576,144,576,576.0,24,0.98193359375,0.9497549019607843,0.8921492210152624,0.9032258064516129,1,0
pca_24,24.0,100.0,0.001,4,576,144,576,576.0,24,0.99609375,0.9705018520566121,0.8978642767029671,0.9090909090909091,1,0
pca_24,24.0,100.0,0.001,5,576,144,576,576.0,24,0.9260981912144702,0.8751243963008669,0.7321676801685973,0.7586206896551724,1,0
pca_24,24.0,100.0,0.01,1,576,144,576,576.0,24,0.9794921875,0.8558286428866673,0.5895263864273741,0.5833333333333334,1,0
pca_24,24.0,100.0,0.01,2,576,144,576,576.0,24,0.98681640625,0.9107114480040681,0.7044306406400331,0.7333333333333333,1,0
