dimension_index_zero_based,dimension_name,overall_mean,overall_sd,overall_variance,overall_minimum,overall_maximum,overall_range,development_mean,development_sd,constant_overall,near_zero_sd_overall
379,esm2_0380,0.022944342282980052,0.060356540107131124,0.003642911933703728,-0.14208984,0.20703125,0.3491211,0.02392480555507872,0.059855455438682294,False,False
380,esm2_0381,0.02131448601776699,0.03779876346496579,0.0014287465194804325,-0.10699463,0.1730957,0.28009033,0.020422277516788906,0.03817237310147456,False,False
381,esm2_0382,-0.2260764330526303,0.07954028362809785,0.006326656719638251,-0.5083008,0.077941895,0.5862427,-0.22729627556271023,0.08110216409451473,False,False
382,esm2_0383,0.011814240940932296,0.0528918140009265,0.0027975439883086042,-0.21276855,0.19641113,0.4091797,0.013350020762946871,0.05369506942195309,False,False
383,esm2_0384,0.10942401896570948,0.06001136904980536,0.003601364415231937,-0.12286377,0.28076172,0.4036255,0.11079197393523323,0.060610161481423605,False,False
384,esm2_0385,0.13278524579271492,0.06242238694867212,0.003896554392369752,-0.05041504,0.3215332,0.37194824,0.13223841869168812,0.06265777382627055,False,False
385,esm2_0386,-0.019616413063531974,0.05005690700008597,0.002505693938415256,-0.18273926,0.1373291,0.32006836,-0.020099537240134344,0.04976706695652336,False,False
386,esm2_0387,-0.04371605676233967,0.057261727124416635,0.0032789053932711517,-0.25805664,0.2705078,0.52856445,-0.043751302361488345,0.05810197001801225,False,False
387,esm2_0388,0.01610088070542381,0.05157038874058636,0.002659504994855196,-0.17785645,0.15209961,0.32995605,0.015566909478770362,0.051979391388163,False,False
388,esm2_0389,-0.04850476351747502,0.05061114036548069,0.0025614875290943893,-0.23132324,0.11981201,0.35113525,-0.04796008335219489,0.050903461645986615,False,False
389,esm2_0390,-0.024689194364897023,0.05666314238252503,0.003210711704662305,-0.15991211,0.2919922,0.4519043,-0.02479546666145325,0.05690882458196863,False,False
390,esm2_0391,-0.10667501292403345,0.06998605072863677,0.004898047296591319,-0.3076172,0.14916992,0.4567871,-0.10509896195597118,0.06944284712452754,False,False
391,esm2_0392,0.005698433925256084,0.09517823581434466,0.009058896572731002,-0.35961914,0.24169922,0.60131836,0.007715805040465461,0.09260289341714012,False,False
392,esm2_0393,0.03419605344037766,0.04917090925701779,0.0024177783171618777,-0.14013672,0.17102051,0.31115723,0.03502665426996019,0.049247930994637056,False,False
393,esm2_0394,-0.006002999304666636,0.04978533660915315,0.002478579741286685,-0.14648438,0.17700195,0.32348633,-0.006883756981955634,0.05003509878598118,False,False
394,esm2_0395,0.0518609999816505,0.05846746246779786,0.0034184441674233517,-0.43774414,0.19360352,0.63134766,0.050637539393372004,0.05681353121841593,False,False
395,esm2_0396,-0.03992277363958158,0.044867897979830616,0.002013128269128488,-0.18737793,0.17041016,0.3577881,-0.03776548695233133,0.04526211675701315,False,False
396,esm2_0397,0.026302719089749387,0.053240627240521136,0.0028345643889641212,-0.11895752,0.1628418,0.28179932,0.026316722730795543,0.053544150624685594,False,False
397,esm2_0398,-0.004574154047801942,0.05720153469701979,0.0032720155716943586,-0.19641113,0.22753906,0.4239502,-0.0048289741906854845,0.0572623572989003,False,False
398,esm2_0399,-0.031295295693104325,0.04866562007231362,0.002368342577022774,-0.15124512,0.17297363,0.32421875,-0.031062994566228654,0.048869277519992586,False,False
399,esm2_0400,-0.04695358035567069,0.0784430409530769,0.0061533106739661,-0.25073242,0.16174316,0.4124756,-0.048594780928558776,0.07832775191373602,False,False
400,esm2_0401,0.1307572016573111,0.0618997768589451,0.003831582375187195,-0.08319092,0.3137207,0.39691162,0.12968796888987225,0.06313992384792322,False,False
401,esm2_0402,0.010139201841132093,0.04671745945929284,0.00218252101833067,-0.15686035,0.15722656,0.3140869,0.00958354448278745,0.04577396692316659,False,False
402,esm2_0403,-0.015940800888027653,0.04420352636355672,0.001953951742973654,-0.18188477,0.2565918,0.43847656,-0.015494833058781094,0.04513818160014126,False,False
403,esm2_0404,0.03523634739641873,0.09462752001625281,0.008954367544426326,-0.15979004,0.33496094,0.49475098,0.03319523649083243,0.0951716723267636,False,False
404,esm2_0405,-0.0017768637453940811,0.04790263181610702,0.002294662134909509,-0.12384033,0.1439209,0.26776123,-0.002551470283004973,0.04742577917426708,False,False
405,esm2_0406,-0.05260801070538266,0.04402545401542881,0.001938240601264637,-0.2010498,0.12878418,0.32983398,-0.05202882049812211,0.04504089734329119,False,False
406,esm2_0407,-0.036274964483940644,0.06281445819158848,0.003945656157902817,-0.21508789,0.19299316,0.40808105,-0.03717422021759881,0.06376935193519552,False,False
407,esm2_0408,0.02194316352776497,0.07436684363044552,0.0055304274315551355,-0.25927734,0.22021484,0.4794922,0.024539352456728617,0.07367569903201215,False,False
408,esm2_0409,0.0455374379004543,0.06830048940001217,0.004664956852281175,-0.1116333,0.27685547,0.38848877,0.04398006366358863,0.06836413122345146,False,False
409,esm2_0410,-0.027446199535132776,0.05579713314240694,0.0031133200669114865,-0.21313477,0.3725586,0.58569336,-0.026619960864384968,0.056585039730492774,False,False
410,esm2_0411,-0.03989120891170946,0.04689453087255193,0.002199097025756726,-0.18762207,0.13757324,0.3251953,-0.03929989909132322,0.04645157400389742,False,False
411,esm2_0412,0.006205085445852841,0.0388304290379217,0.0015078022192690727,-0.17346191,0.12359619,0.2970581,0.0067162822518083785,0.03920173585144807,False,False
412,esm2_0413,-0.047782738452217026,0.07788797891030616,0.006066537258732296,-0.20397949,0.20690918,0.41088867,-0.048776914427677794,0.07735864488185439,False,False
413,esm2_0414,-0.03463850831085781,0.0709995819772627,0.005040940640946045,-0.23205566,0.18688965,0.4189453,-0.0369713779952791,0.06988560526396141,False,False
414,esm2_0415,-0.07635932128781352,0.07393792006679724,0.005466816023804099,-0.2631836,0.17370605,0.43688965,-0.0772221473356088,0.07365728503785025,False,False
415,esm2_0416,-0.046330004368188245,0.06185490027387275,0.0038260286878907426,-0.25634766,0.24328613,0.4996338,-0.04476869569884406,0.06166095909893014,False,False
416,esm2_0417,0.0977601346773789,0.07705072271855305,0.005936813871451348,-0.15844727,0.2854004,0.44384766,0.09824537254042096,0.07734535423743184,False,False
417,esm2_0418,-0.07173636148825338,0.1092244345575115,0.011929977104408112,-0.46142578,0.28637695,0.74780273,-0.06973036130269368,0.10627384280570092,False,False
418,esm2_0419,-0.006977417955917206,0.08172104713301552,0.006678329544516545,-0.17004395,0.2932129,0.46325684,-0.007875185956557592,0.08309398142653217,False,False
419,esm2_0420,0.0502444350891452,0.05088440729252291,0.0025892229055113586,-0.1274414,0.21557617,0.34301758,0.049733831485112505,0.050732988685841904,False,False
420,esm2_0421,-0.004332867036516738,0.048684837931402894,0.002370213444406966,-0.18359375,0.13867188,0.32226562,-0.005083787358469433,0.048561284290576184,False,False
421,esm2_0422,0.05901875136033544,0.06879294157227461,0.004732468810166389,-0.13574219,0.21850586,0.35424805,0.061053129699495105,0.06846213083880763,False,False
422,esm2_0423,0.060094163102923696,0.06152675982999185,0.003785542175177499,-0.10784912,0.29101562,0.39886475,0.0596130672428343,0.06231767621562655,False,False
423,esm2_0424,0.016302460107898608,0.05202684432665825,0.0027067925305903316,-0.16040039,0.17346191,0.3338623,0.015228738304641512,0.052504731118907376,False,False
424,esm2_0425,0.0546774173550283,0.049374618522420866,0.0024378529542345853,-0.19641113,0.20654297,0.4029541,0.053842060764630634,0.04999873824944412,False,False
425,esm2_0426,-0.01736853972126985,0.06469586036262659,0.004185554348060478,-0.19140625,0.38134766,0.5727539,-0.01684436665640937,0.06563394506030178,False,False
426,esm2_0427,-0.0344516918741241,0.04709324567284554,0.0022177737880029855,-0.18701172,0.19458008,0.3815918,-0.03356084658039941,0.047870386123897574,False,False
427,esm2_0428,-0.08812627570081366,0.04313181947445508,0.0018603538511769823,-0.23071289,0.058502197,0.2892151,-0.08817075623406304,0.04328904104630869,False,False
428,esm2_0429,0.032507888021797236,0.06310832287263365,0.003982660415796577,-0.1315918,0.31811523,0.44970703,0.03177744224667549,0.06369257651590614,False,False
429,esm2_0430,-0.00638496578070485,0.04627895257653064,0.002141741451580772,-0.19140625,0.17492676,0.366333,-0.00605925793449084,0.04670497860396033,False,False
430,esm2_0431,-0.002849876285260843,0.06997068804753165,0.004895897185844988,-0.25854492,0.21374512,0.47229004,-0.0032647218969133166,0.07155516922112452,False,False
431,esm2_0432,0.10690293208872703,0.08233936482676336,0.006779771000074836,-0.16174316,0.31201172,0.47375488,0.10798097170061535,0.08282919126834232,False,False
432,esm2_0433,-0.09099067143938783,0.057089145581084966,0.0032591705431783127,-0.29516602,0.11828613,0.41345215,-0.09143985841009351,0.0582004457814267,False,False
433,esm2_0434,-0.04723153818196118,0.03764420311381095,0.0014170860280738537,-0.19873047,0.097229004,0.29595947,-0.04826723469628228,0.03737207125686789,False,False
434,esm2_0435,0.03902230503556466,0.06338640646994423,0.004017836525172988,-0.1381836,0.25805664,0.39624023,0.039977903664112094,0.06260603020542278,False,False
435,esm2_0436,-0.023316148052469607,0.049226423717241306,0.0024232407919893774,-0.1784668,0.22192383,0.40039062,-0.023760875314474107,0.05025343309010389,False,False
436,esm2_0437,0.08332656014640376,0.061067734689430414,0.003729268220098663,-0.1965332,0.2298584,0.4263916,0.08444934851593441,0.06142988036708239,False,False
437,esm2_0438,0.04935784847966574,0.07845664432686587,0.0061554450390323345,-0.24389648,0.23339844,0.47729492,0.05141778339942296,0.07773208668305034,False,False
438,esm2_0439,-0.006769876567425659,0.040366542102506765,0.0016294577213134512,-0.17810059,0.10632324,0.28442383,-0.005858542687363095,0.039798319690864434,False,False
439,esm2_0440,0.01647158210206111,0.05702225832092395,0.0032515379440181814,-0.16027832,0.18310547,0.3433838,0.017769704345199797,0.05611295791869017,False,False
440,esm2_0441,0.0024872345479823375,0.042887039938696046,0.0018392981947033095,-0.14672852,0.12646484,0.27319336,0.002426848891708586,0.04357450576239958,False,False
441,esm2_0442,-0.14812639630198082,0.051848710118092084,0.0026882887409099446,-0.30444336,0.021072388,0.32551575,-0.14849724173545836,0.051922542677369676,False,False
442,esm2_0443,-0.010260167846933718,0.06506996987490678,0.004234100979521275,-0.22045898,0.27856445,0.49902344,-0.010615087548891703,0.06581328875675356,False,False
443,esm2_0444,-0.0853535274289689,0.04443486553875649,0.0019744572754473687,-0.35839844,0.064575195,0.42297363,-0.08518794642554389,0.044276206566726144,False,False
